Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Sep 2018
Equity Capital,3.91,3.91,3.91,3.91,3.91,3.91
Reserves,1.12,0.12,0.55,0.56,0.76,0.84
Borrowings,3.01,2.25,1.28,0.65,0.00,0.00
  └─ Long term Borrowings,1.80,1.07,0.21,0.00,0.00,0.00
  └─ Short term Borrowings,0.79,0.68,0.85,0.65,0.00,0.00
  └─ Other Borrowings,0.42,0.50,0.22,0.00,0.00,
Other Liabilities,1.16,0.65,0.67,0.78,0.77,0.92
  └─ Trade Payables,0.27,0.19,0.34,0.56,0.27,0.45
  └─ Other liability items,0.89,0.46,0.33,0.22,0.50,0.47
Total Liabilities,9.20,6.93,6.41,5.90,5.44,5.67
Fixed Assets,6.22,4.59,3.67,3.01,2.70,2.59
  └─ Land,0.12,0.12,0.12,0.12,0.12,
  └─ Building,1.85,1.85,1.85,1.80,1.81,
  └─ Plant Machinery,5.88,5.99,5.55,5.61,5.31,
  └─ Equipments,0.14,0.05,0.05,0.05,0.06,
  └─ Computers,0.00,0.11,0.11,0.11,0.11,
  └─ Furniture n fittings,0.99,0.99,0.99,0.99,0.99,
  └─ Vehicles,0.08,0.08,0.08,0.08,0.08,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.02
  └─ Other fixed assets,0.00,0.00,0.00,0.05,0.06,
  └─ Gross Block,9.06,9.19,8.75,8.81,8.54,
  └─ Accumulated Depreciation,2.84,4.59,5.09,5.80,5.84,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.06,0.06,0.06,0.06,0.43,0.43
Other Assets,2.92,2.28,2.68,2.83,2.31,2.65
  └─ Inventories,0.98,0.64,0.67,0.81,0.33,0.45
  └─ Trade receivables,0.99,0.65,1.06,1.20,1.07,0.80
  └─ Cash Equivalents,0.16,0.18,0.23,0.25,0.48,0.73
  └─ Loans n Advances,0.15,0.20,0.13,0.12,0.03,0.06
  └─ Other asset items,0.64,0.61,0.59,0.45,0.40,0.61
Total Assets,9.20,6.93,6.41,5.90,5.44,5.67
