Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,16,18,199,199
Reserves,54,140,389,507,589
Borrowings,70,82,129,68,83
  └─ Long term Borrowings,7,3,1,2,3
  └─ Short term Borrowings,42,57,113,37,54
  └─ Lease Liabilities,21,22,16,29,25
Other Liabilities,159,110,129,184,382
  └─ Non controlling int,0,0,2,6,9
  └─ Trade Payables,62,75,89,108,195
  └─ Advance from Customers,89,29,32,59,
  └─ Other liability items,8,6,6,10,179
Total Liabilities,298,348,665,958,1254
Fixed Assets,52,75,96,136,183
  └─ Land,0.00,16.05,17.73,17.73,
  └─ Building,23.80,28.76,35.14,60.11,
  └─ Plant Machinery,25.89,31.17,48.16,62.10,
  └─ Equipments,0.24,0.76,1.18,1.41,
  └─ Computers,0.28,0.76,1.49,2.13,
  └─ Furniture n fittings,4.34,6.79,7.84,10.33,
  └─ Vehicles,1.27,1.96,3.14,3.67,
  └─ Intangible Assets,0.00,0.00,0.00,7.74,31.94
  └─ Other fixed assets,0.41,0.73,1.24,1.50,
  └─ Gross Block,56.23,86.98,115.92,166.72,
  └─ Accumulated Depreciation,4.24,11.94,19.77,30.84,
CWIP,1,3,4,8,27
Investments,0,0,0,0,0
Other Assets,245,269,565,814,1045
  └─ Inventories,126,143,225,279,438
  └─ Trade receivables,82,91,155,214,256
    └─ Receivables over 6m,3,25,31,52,
    └─ Receivables under 6m,81,68,128,165,
    └─ Prov for Doubtful,-2,-2,-4,-3,
  └─ Cash Equivalents,0,5,52,122,115
  └─ Loans n Advances,20,14,24,32,11
  └─ Other asset items,17,15,110,167,225
Total Assets,298,348,665,958,1254
