Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2022
Equity Capital,188,188,188,188,188,188,188,188,188,188,188,188,
Reserves,8030,8233,8625,9168,10344,11356,12511,14121,13950,16142,18367,20363,
Borrowings,0,0,0,0,0,0,102,126,153,355,430,429,
  └─ Lease Liabilities,,0,0,0,0,0,0,126,153,355,430,429,132
  └─ Other Borrowings,,0,0,0,0,0,102,0,0,0,0,0,
Other Liabilities,4464,4379,4581,5490,5524,5592,5399,6604,6252,6701,6428,6546,
  └─ Non controlling int,,3,3,3,3,3,3,3,3,4,4,4,3
  └─ Trade Payables,,878,1258,1814,1926,1475,1422,1905,1640,1925,1725,2454,1547
  └─ Advance from Customers,,138,202,189,227,157,148,252,170,259,178,127,
  └─ Other liability items,,3361,3117,3485,3368,3957,3825,4444,4439,4514,4522,3961,4522
Total Liabilities,12682,12800,13394,14846,16056,17136,18200,21039,20544,23386,25413,27525,
Fixed Assets,5666,5331,7568,7280,7088,7027,6694,6750,7512,10025,10829,11256,
  └─ Land,,478,470,475,480,515,594,631,779,854,1876,2001,
  └─ Building,,1467,1581,1615,1662,1718,1786,1891,2029,2346,2594,2697,
  └─ Plant Machinery,,9060,5762,5992,6311,6707,6932,7391,8534,10409,11035,11734,
  └─ Equipments,,133,46,53,59,66,71,85,94,98,124,144,
  └─ Furniture n fittings,,46,23,26,27,30,34,35,46,46,342,369,
  └─ Railway sidings,,182,196,246,255,259,276,284,301,381,384,418,
  └─ Vehicles,,62,51,57,69,88,95,100,109,406,121,139,
  └─ Intangible Assets,,59,16,16,16,16,10,4,4,345,395,395,62
  └─ Other fixed assets,,59,31,47,49,49,65,74,175,474,447,864,
  └─ Gross Block,,11547,8177,8527,8927,9447,9863,10496,12070,15360,17317,18760,
  └─ Accumulated Depreciation,,6216,609,1247,1839,2420,3169,3747,4558,5335,6487,7504,
CWIP,1956,2396,261,269,398,446,548,1216,1684,986,2061,2227,
Investments,1385,1314,117,95,104,116,129,150,163,811,1509,55,
Other Assets,3675,3759,5448,7202,8466,9547,10828,12923,11185,11564,11013,13987,
  └─ Inventories,,1189,1225,1405,1679,1142,901,1274,1624,1869,1925,1789,1752
  └─ Trade receivables,,484,533,666,867,627,451,462,869,828,1163,3842,771
  └─ Cash Equivalents,,94,1977,2729,3097,4648,6006,7522,415,1863,1649,558,2993
  └─ Loans n Advances,,0,158,463,354,469,374,357,1603,849,1303,3067,967
  └─ Other asset items,,1991,1555,1939,2468,2662,3096,3307,6673,6156,4972,4732,4409
Total Assets,12682,12800,13394,14846,16056,17136,18200,21039,20544,23386,25413,27525,
