Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,124,124,124,124,124,124,124,124,124,124,124
Reserves,1466,2191,2671,2452,1862,3015,3804,4779,5511,5973,6091
Borrowings,212,94,101,90,283,204,278,541,394,237,446
  └─ Short term Borrowings,112,94,101,90,283,204,278,526,382,221,437
  └─ Lease Liabilities,0,0,0,0,0,0,0,14,12,16,8
  └─ Other Borrowings,100,0,0,0,0,0,0,0,0,0,
Other Liabilities,583,588,610,666,623,951,1140,841,1030,1048,935
  └─ Trade Payables,243,227,250,284,228,436,463,289,289,444,366
  └─ Advance from Customers,40,29,29,25,23,14,10,20,7,11,
  └─ Other liability items,300,332,330,358,371,501,666,532,734,593,569
Total Liabilities,2385,2997,3506,3332,2891,4294,5345,6285,7058,7382,7596
Fixed Assets,850,855,884,951,1017,1002,993,1055,1055,1008,1017
  └─ Land,68.54,69.68,70.95,104.94,106.71,109.21,109.63,130.03,134.86,145.09,
  └─ Building,154.27,215.50,219.81,228.01,277.86,285.05,281.39,287.05,298.30,300.97,
  └─ Plant Machinery,660.17,1668.01,1747.93,1841.17,1922.70,1969.88,2029.98,2152.61,2245.60,2281.75,
  └─ Equipments,0.84,2.57,1.91,2.04,3.61,3.94,5.04,6.25,7.19,9.64,
  └─ Furniture n fittings,3.53,11.77,5.99,6.06,6.19,6.23,6.40,6.46,4.11,3.74,
  └─ Vehicles,5.63,8.84,11.24,11.14,10.79,10.47,12.54,11.39,11.97,11.86,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.85
  └─ Other fixed assets,3.54,5.98,5.88,6.08,6.41,5.94,6.42,6.31,6.96,13.75,
  └─ Gross Block,896.52,1982.35,2063.71,2199.44,2334.27,2390.72,2451.40,2600.10,2708.99,2766.80,
  └─ Accumulated Depreciation,46.87,1127.22,1179.47,1248.55,1317.38,1388.37,1458.17,1544.93,1653.62,1758.40,
CWIP,7,22,90,90,7,8,9,44,19,73,28
Investments,854,1264,1607,1362,656,1679,2718,3952,4586,4910,4969
Other Assets,675,856,925,929,1211,1604,1625,1234,1398,1391,1581
  └─ Inventories,447,557,612,620,858,919,1015,673,728,782,1026
  └─ Trade receivables,18,52,43,74,73,148,334,298,458,379,362
  └─ Cash Equivalents,10,16,23,28,93,336,81,61,32,125,60
  └─ Loans n Advances,14,9,31,69,49,60,43,82,72,41,22
  └─ Other asset items,186,221,215,137,138,141,151,120,109,63,110
Total Assets,2385,2997,3506,3332,2891,4294,5345,6285,7058,7382,7596
