Metric,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,20,20,20,23,24,24,25,25,33,33,33,33
Reserves,-212,-214,-209,-176,-208,-233,-168,-181,-56,-66,-5,26
Borrowings,389,381,362,300,250,260,190,192,100,95,116,179
  └─ Long term Borrowings,279,270,231,154,99,123,100,72,0,0,82,160
  └─ Short term Borrowings,74,78,91,63,83,85,25,88,67,64,27,13
  └─ Lease Liabilities,0,0,0,0,0,0,0,5,7,4,7,4
  └─ Other Borrowings,35,32,40,83,69,51,66,27,27,27,0,2
Other Liabilities,209,209,215,265,207,236,232,253,276,241,199,176
  └─ Non controlling int,27,27,27,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,94,99,86,140,83,112,122,134,180,149,163,138
  └─ Advance from Customers,0,0,0,2,3,5,2,3,15,9,3,3
  └─ Other liability items,89,83,102,123,120,119,108,116,81,83,34,34
Total Liabilities,406,396,388,412,273,286,279,289,353,304,343,414
Fixed Assets,174,164,180,186,178,172,164,167,167,167,167,201
  └─ Land,52,52,52,52,52,52,52,52,52,52,54,50
  └─ Building,40,40,48,42,41,45,45,55,62,66,64,72
  └─ Plant Machinery,185,185,188,89,90,90,91,94,97,104,111,149
  └─ Equipments,4,4,13,7,8,7,7,8,8,8,10,11
  └─ Computers,5,5,3,1,1,1,1,1,1,1,2,3
  └─ Furniture n fittings,6,6,7,4,4,4,4,4,4,5,5,5
  └─ Vehicles,3,4,4,1,1,1,1,1,1,2,2,2
  └─ Intangible Assets,4,0,0,0,0,0,0,0,0,0,0,0
  └─ Other fixed assets,7,7,8,1,1,1,1,1,1,1,2,2
  └─ Gross Block,307,303,323,197,199,202,203,216,227,239,248,293
  └─ Accumulated Depreciation,133,139,143,10,20,30,39,49,60,72,82,92
CWIP,13,19,14,10,10,9,14,11,2,2,3,5
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,219,213,193,216,84,105,101,111,183,135,173,208
  └─ Inventories,35,34,35,34,13,19,12,25,50,22,36,38
  └─ Trade receivables,103,99,75,85,29,44,51,34,63,69,89,114
  └─ Cash Equivalents,7,12,7,9,6,5,17,12,25,4,6,13
  └─ Loans n Advances,20,13,28,35,4,1,6,4,4,6,6,9
  └─ Other asset items,55,56,49,52,31,35,16,35,41,34,36,34
Total Assets,406,396,388,412,273,286,279,289,353,304,343,414
