Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.00,5,5,5,5,5,5,5,5,5,5
Reserves,10,-101,-265,-374,-477,-629,-771,-896,-561,-516,-518
Borrowings,858,1144,1341,1813,2010,2424,2931,3302,3772,3504,3946
  └─ Long term Borrowings,524,824,1053,1713,1818,2202,2652,3065,3332,3113,3360
  └─ Short term Borrowings,257,200,222,62,152,221,279,236,440,390,586
  └─ Lease Liabilities,0,0,0,0,0,1,1,1,1,1,1
  └─ Preference Capital,0,0,112,112,0,0,0,732,650,200,0
  └─ Other Borrowings,77,120,-45,-74,41,0,-0,-732,-650,-200,
Other Liabilities,349,237,188,301,444,442,586,940,1049,1198,1600
  └─ Non controlling int,-5,-8,-8,-11,12,27,42,63,-65,35,69
  └─ Trade Payables,177,108,74,141,262,208,204,321,387,527,834
  └─ Advance from Customers,63,51,39,52,31,36,48,126,234,153,
  └─ Other liability items,115,85,83,118,139,171,292,430,492,484,696
Total Liabilities,1217,1285,1269,1744,1983,2243,2751,3350,4265,4190,5033
Fixed Assets,644,634,622,614,603,593,1235,1606,1551,1888,2033
  └─ Land,131,132,132,132,132,132,132,132,132,0,
  └─ Building,111,112,122,125,129,129,130,131,134,64,
  └─ Plant Machinery,406,408,418,429,434,443,464,466,476,345,
  └─ Equipments,1,1,2,2,3,3,4,6,8,10,
  └─ Computers,1,1,2,3,3,4,4,6,8,8,
  └─ Furniture n fittings,13,13,13,14,14,14,14,15,15,3,
  └─ Vehicles,16,16,17,17,17,19,19,19,22,15,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,0,1772
  └─ Other fixed assets,3,13,13,14,3,3,652,1073,1081,1751,
  └─ Gross Block,682,698,718,734,735,746,1420,1848,1875,2196,
  └─ Accumulated Depreciation,38,64,97,120,131,153,185,242,325,308,
CWIP,33,35,49,316,459,636,306,79,414,43,12
Investments,11,11,11,12,13,11,13,19,22,1,1
Other Assets,529,604,588,802,907,1003,1196,1646,2278,2258,2987
  └─ Inventories,113,114,67,113,104,100,108,169,198,36,64
  └─ Trade receivables,177,192,153,207,241,267,344,593,691,837,1271
    └─ Receivables over 6m,0,0,0,0,0,0,0,66,99,142,
    └─ Receivables under 6m,180,194,182,222,241,268,344,528,592,697,
    └─ Prov for Doubtful,-3,-3,-29,-15,0,-0,-0,0,-0,-1,
  └─ Cash Equivalents,53,94,61,84,27,110,145,186,337,339,437
  └─ Loans n Advances,60,63,65,74,112,88,72,75,62,57,333
  └─ Other asset items,125,141,243,324,423,437,527,623,990,987,883
Total Assets,1217,1285,1269,1744,1983,2243,2751,3350,4265,4190,5033
