Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,57,57,57,59,59,59,59,61,61
Reserves,209,237,262,372,410,486,604,1104,1210
Borrowings,139,165,134,132,136,127,245,184,191
  └─ Long term Borrowings,95,107,86,115,88,94,149,61,80
  └─ Short term Borrowings,26,33,18,16,41,27,76,70,51
  └─ Lease Liabilities,6,4,3,2,7,6,20,53,60
  └─ Other Borrowings,12,21,27,0,0,0,0,0,
Other Liabilities,105,117,113,118,117,160,192,216,226
  └─ Trade Payables,39,49,47,57,58,77,107,105,118
  └─ Advance from Customers,2,2,3,4,5,17,8,10,
  └─ Other liability items,65,66,63,56,55,65,78,100,108
Total Liabilities,511,577,566,681,722,831,1100,1565,1687
Fixed Assets,261,363,354,354,411,426,524,623,931
  └─ Land,31.66,31.51,30.87,30.61,40.92,52.13,57.14,63.03,
  └─ Building,101.75,133.19,125.74,140.23,150.28,165.30,207.22,248.36,
  └─ Plant Machinery,163.41,262.82,266.66,324.86,399.97,431.00,535.13,636.08,
  └─ Equipments,1.27,2.31,2.52,2.82,3.47,3.91,4.98,7.24,
  └─ Computers,1.09,1.60,1.82,2.16,2.68,3.62,4.74,6.17,
  └─ Furniture n fittings,2.94,4.13,4.33,4.46,4.69,5.18,6.15,6.49,
  └─ Vehicles,7.51,7.82,8.33,11.18,12.77,15.65,16.02,21.04,
  └─ Intangible Assets,0.40,0.40,0.40,0.40,0.40,0.40,0.40,10.20,8.42
  └─ Other fixed assets,2.74,2.76,2.74,2.74,2.92,2.91,2.95,2.97,
  └─ Gross Block,312.77,446.54,443.41,519.46,618.10,680.10,834.73,1001.58,
  └─ Accumulated Depreciation,51.65,83.93,89.54,165.11,206.94,253.82,310.67,378.42,
CWIP,92,16,7,55,12,49,94,238,90
Investments,4,4,4,10,11,11,4,4,7
Other Assets,154,195,202,261,288,345,478,700,660
  └─ Inventories,35,35,43,57,79,81,104,137,127
  └─ Trade receivables,69,100,75,72,75,90,133,135,172
  └─ Cash Equivalents,11,12,30,85,83,75,127,288,231
  └─ Loans n Advances,-0,-0,-0,1,2,3,11,13,40
  └─ Other asset items,39,48,53,46,49,96,102,127,89
Total Assets,511,577,566,681,722,831,1100,1565,1687
