Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,15,15,15,15,15,15,21,22,23,26,27
Reserves,-11,-6,-5,-4,27,60,119,292,442,1187,1477
Borrowings,9,37,35,41,0,9,74,149,215,286,225
  └─ Long term Borrowings,0,0,35,41,0,0,0,40,53,92,29
  └─ Short term Borrowings,9,37,0,0,0,2,0,41,64,80,133
  └─ Lease Liabilities,0,0,0,0,0,7,74,68,97,114,63
  └─ Other Borrowings,0,-0,0,0,0,0,0,-0,0,-0,
Other Liabilities,56,71,15,45,115,53,128,288,118,300,1114
  └─ Non controlling int,0,0,0,0,0,0,0,0,-1,-1,4
  └─ Trade Payables,49,63,8,41,101,41,100,193,54,172,464
  └─ Advance from Customers,0,6,0,1,9,0,0,13,6,16,
  └─ Other liability items,7,2,6,2,5,12,27,83,59,113,645
Total Liabilities,70,118,60,97,159,138,341,752,798,1799,2843
Fixed Assets,16,15,15,14,15,22,87,147,204,345,220
  └─ Land,9.01,9.01,9.01,9.01,9.01,15.56,15.46,39.65,39.65,39.23,
  └─ Building,2.84,2.84,2.84,2.04,2.04,3.07,2.69,35.89,35.89,47.67,
  └─ Plant Machinery,11.75,11.78,11.86,1.98,3.46,3.84,69.50,73.44,80.02,112.19,
  └─ Equipments,0.30,0.33,0.33,0.18,0.19,0.12,0.14,0.64,0.82,4.80,
  └─ Furniture n fittings,2.70,2.89,2.89,1.21,1.21,1.15,1.15,0.70,0.70,5.26,
  └─ Vehicles,0.82,0.75,1.00,0.72,0.74,0.83,1.15,2.42,64.49,169.12,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,16.91
  └─ Other fixed assets,-0.01,-0.02,-0.01,0.00,0.02,-0.01,0.01,0.04,1.96,12.45,
  └─ Gross Block,27.41,27.58,27.92,15.14,16.67,24.56,90.10,152.78,223.54,390.73,
  └─ Accumulated Depreciation,11.57,12.53,13.31,0.83,1.79,2.63,3.31,6.02,19.43,45.33,
CWIP,0,0,0,0,0,0,0,3,9,17,10
Investments,0,0,0,0,0,0,74,74,74,31,0
Other Assets,54,103,45,83,143,116,181,529,512,1406,2613
  └─ Inventories,1,1,1,5,8,3,5,11,7,7,76
  └─ Trade receivables,50,80,9,37,88,72,93,245,306,677,886
  └─ Cash Equivalents,1,0,1,1,4,21,17,10,48,352,393
  └─ Loans n Advances,1,17,28,37,32,4,48,180,71,95,12
  └─ Other asset items,2,4,6,4,12,16,17,82,80,275,1245
Total Assets,70,118,60,97,159,138,341,752,798,1799,2843
