Metric,Jun 2010,Jun 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Equity Capital,41,43,46,46,83,86,95,99,99,99,99,99
Reserves,2766,2960,3242,3216,5259,3311,3579,3734,3895,4040,2812,-361
Borrowings,4422,7830,7602,6477,4923,4979,5206,5787,6733,6878,7184,7460
  └─ Long term Borrowings,,4041,3559,4210,3082,4462,4907,5341,6153,4753,3759,286
  └─ Short term Borrowings,,2267,1872,1420,1159,54,125,355,392,1380,1609,7126
  └─ Lease Liabilities,,0,0,0,0,0,0,0,0,415,323,48
  └─ Preference Capital,70,138,75,75,49,72,24,15,15,15,15,0
  └─ Other Borrowings,4352,1383,2097,772,633,391,150,77,173,314,1478,
Other Liabilities,2479,3490,4146,2409,3185,1563,1670,1836,2356,4649,1761,1241
  └─ Non controlling int,318,331,59,90,66,-0,124,203,279,-0,-0,-0
  └─ Trade Payables,1389,2112,2383,1255,2030,803,642,756,986,1305,1119,1003
  └─ Advance from Customers,-0,-0,-0,-0,-0,2,7,2,2,2560,18,
  └─ Other liability items,772,1047,1704,1064,1089,759,898,876,1090,784,624,238
Total Liabilities,9708,14324,15037,12149,13450,9938,10549,11457,13083,15666,11856,8438
Fixed Assets,2647,3278,4632,4520,4998,5422,5982,6759,7423,8356,4750,3869
  └─ Land,9,8,8,12,8,24,24,34,34,6,6,
  └─ Building,502,599,1035,1022,1240,1341,1617,1872,2117,2236,1217,
  └─ Plant Machinery,125,448,712,725,894,984,1173,1507,1700,1915,1185,
  └─ Equipments,246,58,66,56,48,223,251,312,351,455,224,
  └─ Computers,616,271,276,234,207,8,11,32,70,78,75,
  └─ Furniture n fittings,1500,2108,3209,2818,3255,3402,4103,4929,5676,6146,3178,
  └─ Vehicles,5,8,10,11,8,5,10,10,9,9,5,
  └─ Intangible Assets,20,14,13,13,13,35,1,0,217,762,872,662
  └─ Other fixed assets,63,438,445,475,354,8,9,10,10,363,296,
  └─ Gross Block,3087,3951,5773,5366,6028,6032,7199,8706,10184,11969,7058,
  └─ Accumulated Depreciation,440,673,1141,846,1030,610,1217,1947,2761,3613,2308,
CWIP,304,345,553,394,277,422,456,585,597,630,92,0
Investments,910,1370,1391,1452,1622,1128,1135,865,957,1136,1080,760
Other Assets,5847,9332,8461,5783,6553,2966,2976,3247,4105,5544,5933,3808
  └─ Inventories,2491,3679,4469,3131,3534,869,883,1097,1262,1207,1087,376
  └─ Trade receivables,391,551,547,442,550,505,603,777,896,2296,2767,1614
  └─ Cash Equivalents,286,521,201,168,131,127,111,132,167,30,56,17
  └─ Loans n Advances,1429,1447,0,0,0,-0,-0,-1,38,15,223,20
  └─ Other asset items,1249,3135,3244,2042,2339,1465,1379,1241,1742,1996,1801,1782
Total Assets,9708,14324,15037,12149,13450,9938,10549,11457,13083,15666,11856,8438
