Metric,Mar 2015,Mar 2016,Mar 2018,Mar 2019,Mar 2024,Mar 2025,Sep 2025
Equity Capital,1.24,1.24,1.24,1.24,12.19,12.19,12.19
Reserves,12.53,14.29,11.56,15.07,43.67,74.88,65.59
Borrowings,-0.00,-0.00,-0.00,-0.00,0.29,0.19,0.41
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.29,0.20,0.41
  └─ Other Borrowings,0.00,0.00,0.00,0.00,0.00,-0.01,
Other Liabilities,0.40,0.40,2.27,2.55,2.41,7.10,7.05
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,-0.04,-0.17
  └─ Trade Payables,0.02,0.09,0.31,0.00,0.14,0.02,0.97
  └─ Other liability items,0.38,0.31,1.96,2.55,2.27,7.12,6.25
Total Liabilities,14.17,15.93,15.07,18.86,58.56,94.36,85.24
Fixed Assets,3.00,2.91,2.84,0.13,0.41,0.33,0.56
  └─ Land,1.64,1.64,1.64,0.02,0.00,0.00,
  └─ Building,1.46,1.46,1.46,0.11,0.02,0.02,
  └─ Plant Machinery,0.00,0.00,0.11,0.11,0.26,0.26,
  └─ Equipments,0.14,0.14,0.14,0.15,0.18,0.18,
  └─ Computers,0.00,0.00,0.00,0.01,0.17,0.17,
  └─ Furniture n fittings,0.43,0.43,0.43,0.42,0.11,0.11,
  └─ Vehicles,0.03,0.03,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,0.01,0.01,0.01,0.01,0.00,0.06,0.05
  └─ Other fixed assets,0.12,0.12,0.01,0.00,0.32,0.33,
  └─ Gross Block,3.83,3.83,3.80,0.83,1.06,1.13,
  └─ Accumulated Depreciation,0.83,0.91,0.96,0.69,0.66,0.80,
CWIP,-0.00,-0.00,-0.00,-0.00,0.02,-0.00,-0.00
Investments,7.82,9.57,8.36,9.29,26.20,48.68,35.11
Other Assets,3.35,3.45,3.87,9.44,31.93,45.35,49.57
  └─ Inventories,1.71,1.96,1.97,1.99,0.00,0.00,0.05
  └─ Trade receivables,0.00,0.00,0.05,0.00,2.69,1.19,4.75
  └─ Cash Equivalents,0.14,0.13,0.42,0.17,10.15,11.44,10.74
  └─ Loans n Advances,0.04,0.02,1.31,6.77,18.91,32.52,33.84
  └─ Other asset items,1.46,1.34,0.12,0.51,0.18,0.20,0.19
Total Assets,14.17,15.93,15.07,18.86,58.56,94.36,85.24
