Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,20,20,20,20,20,20,20,20,20,20,20,20,
Reserves,9,19,26,37,42,54,55,66,79,93,48,61,
Borrowings,0,7,12,12,15,18,17,36,57,121,86,81,
  └─ Long term Borrowings,0.00,0.28,0.06,0.33,1.32,1.08,1.09,15.16,29.44,63.45,49.28,49.68,
  └─ Short term Borrowings,0.00,6.21,12.15,10.83,12.41,7.72,11.72,17.98,27.37,53.95,36.96,23.65,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,7.82,3.83,2.53,0.12,3.55,0.00,7.54,
  └─ Other Borrowings,0.00,0.04,0.19,1.03,1.41,1.43,0.00,0.01,0.00,0.01,0.00,,
Other Liabilities,5,8,25,20,31,12,23,13,21,39,42,24,
  └─ Non controlling int,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.00,0.00,
  └─ Trade Payables,2.87,4.36,4.86,4.65,3.16,2.97,12.94,1.96,4.49,5.16,5.89,3.54,
  └─ Advance from Customers,0.00,0.00,1.99,0.36,0.10,0.14,0.00,0.04,0.10,14.66,0.66,,
  └─ Other liability items,2.25,3.91,17.67,14.87,27.89,8.83,10.27,11.31,15.95,19.23,35.29,20.17,
Total Liabilities,34,54,82,89,107,103,115,134,177,272,196,185,
Fixed Assets,15,19,9,6,3,21,20,19,37,40,54,63,
  └─ Building,0.38,0.44,0.35,0.40,0.41,5.22,3.25,2.25,18.69,22.08,18.10,,
  └─ Plant Machinery,0.09,0.47,0.10,0.10,0.04,0.04,0.04,0.00,0.52,0.52,0.52,,
  └─ Equipments,0.44,0.48,0.21,0.24,0.31,2.91,1.02,0.68,1.54,2.26,2.27,,
  └─ Computers,5.94,6.92,1.66,1.91,1.85,16.73,23.98,28.91,37.74,46.74,59.92,,
  └─ Furniture n fittings,0.20,0.21,0.07,0.21,0.26,0.31,0.32,0.31,1.46,1.46,1.25,,
  └─ Vehicles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,,
  └─ Intangible Assets,12.21,24.83,9.96,9.99,10.53,11.39,0.00,0.00,0.00,0.00,0.00,5.20,
  └─ Other fixed assets,4.67,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.51,0.55,0.50,,
  └─ Gross Block,23.93,33.35,12.35,12.87,13.40,36.61,28.61,32.15,60.56,73.61,82.56,,
  └─ Accumulated Depreciation,8.56,14.34,3.74,7.21,10.26,15.50,8.16,13.54,23.47,33.81,28.38,,
CWIP,0,0,0,0,0,8,0,22,0,37,2,0,
Investments,0,7,41,36,24,17,11,12,13,18,17,19,
Other Assets,19,27,32,47,80,58,83,82,127,178,123,104,
  └─ Trade receivables,7.30,8.86,14.39,15.64,63.63,30.36,31.31,28.30,58.36,59.28,49.81,43.66,
    └─ Receivables over 6m,0.08,0.00,0.00,0.00,0.00,0.00,0.06,0.99,58.75,1.08,17.79,,0.17
    └─ Receivables under 6m,7.22,8.86,14.52,15.72,63.70,30.98,32.65,27.93,0.00,58.69,41.97,,10.79
    └─ Prov for Doubtful,0.00,0.00,-0.13,-0.08,-0.07,-0.63,-1.40,-0.62,-0.39,-0.49,-9.94,,0.00
  └─ Cash Equivalents,3.96,3.60,1.55,1.27,6.87,12.07,34.04,35.95,27.75,54.97,20.54,13.19,
  └─ Loans n Advances,2.06,2.78,3.19,3.05,2.58,6.30,6.55,7.92,14.64,35.41,37.32,1.16,
  └─ Other asset items,5.35,11.99,13.07,27.10,7.18,9.23,10.89,10.31,26.08,28.20,15.11,45.57,
Total Assets,34,54,82,89,107,103,115,134,177,272,196,185,
