Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,55,41,41,46,44,52,52,52,52,52,52,52,
Reserves,2037,1909,1918,2121,1971,1802,1771,1596,517,198,4,-103,
Borrowings,602,836,936,1091,1812,2346,2261,2089,1961,1892,1902,1495,
  └─ Long term Borrowings,263,325,226,408,223,186,111,122,72,50,97,640,
  └─ Short term Borrowings,282,424,615,523,1426,1949,2141,1962,1886,1842,1804,856,
  └─ Lease Liabilities,0,0,0,0,0,0,9,5,3,0,0,0,
  └─ Other Borrowings,57,86,95,160,164,211,0,0,0,-0,0,,
Other Liabilities,395,604,557,585,733,735,824,1025,1209,1394,1636,908,
  └─ Non controlling int,24,18,22,23,0,0,0,0,0,0,0,0,
  └─ Trade Payables,124,136,117,127,174,89,112,129,122,96,97,99,
  └─ Advance from Customers,0,2,4,0,68,71,71,67,75,73,69,,
  └─ Other liability items,247,447,415,434,491,574,642,830,1013,1225,1470,809,
Total Liabilities,3089,3390,3452,3843,4559,4935,4908,4763,3740,3536,3594,2353,
Fixed Assets,2165,2164,2137,2120,1475,1426,1397,1395,1386,1280,1260,1229,
  └─ Land,46,43,48,48,48,9,11,15,18,14,15,,
  └─ Building,791,516,533,570,407,465,485,496,499,442,456,,
  └─ Estates,995,0,0,0,0,0,0,0,0,0,0,,
  └─ Plant Machinery,655,352,404,406,280,421,453,468,474,413,428,,
  └─ Equipments,8,1,3,1,1,3,4,5,5,2,2,,
  └─ Computers,9,2,3,3,2,3,3,4,3,4,4,,
  └─ Furniture n fittings,22,9,8,9,5,7,8,8,8,7,7,,
  └─ Vehicles,79,35,34,40,23,32,36,36,36,32,33,,
  └─ Intangible Assets,369,343,320,337,227,235,238,237,238,234,236,204,
  └─ Other fixed assets,8,964,963,949,669,703,712,762,811,809,830,,
  └─ Gross Block,2983,2266,2315,2363,1663,1877,1950,2030,2094,1958,2011,,
  └─ Accumulated Depreciation,818,102,178,243,187,452,552,636,708,678,751,,
CWIP,63,96,91,107,89,93,67,56,47,45,41,38,
Investments,12,78,72,96,101,11,53,62,52,62,58,48,
Other Assets,848,1051,1151,1520,2893,3406,3391,3250,2254,2148,2234,1037,
  └─ Inventories,259,250,237,234,226,194,205,181,147,95,106,120,
  └─ Trade receivables,88,127,109,126,40,35,32,49,40,48,48,38,
    └─ Receivables over 6m,7.01,0.00,0.00,0.00,1.76,1.76,13.33,11.99,8.03,15.12,15.36,,10.96
    └─ Receivables under 6m,84.04,130.70,112.32,130.79,41.45,36.47,23.67,40.95,31.83,36.46,35.12,,39.32
    └─ Prov for Doubtful,-3.41,-3.41,-3.41,-4.80,-3.71,-3.71,-5.08,-3.71,0.00,-3.93,-2.12,,-3.41
  └─ Cash Equivalents,43,46,51,80,357,54,99,27,15,6,9,17,
  └─ Loans n Advances,175,302,365,792,124,136,89,82,64,44,76,466,
  └─ Other asset items,284,325,389,289,2147,2987,2967,2911,1988,1955,1995,397,
Total Assets,3089,3390,3452,3843,4559,4935,4908,4763,3740,3536,3594,2353,
