Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,5,5,5,5,5,5,5,5,5,5,5,12,12
Reserves,29,30,31,85,93,103,112,114,118,128,170,164,157
Borrowings,81,83,94,85,71,59,76,73,73,122,116,118,128
  └─ Long term Borrowings,18,14,22,19,12,9,12,16,18,71,64,58,59
  └─ Short term Borrowings,51,59,59,57,51,42,49,57,55,49,51,55,65
  └─ Lease Liabilities,0,0,0,0,0,0,2,0,0,2,1,5,4
  └─ Other Borrowings,11,10,13,9,8,8,14,0,0,0,0,0,
Other Liabilities,105,113,74,93,90,115,108,118,109,74,80,81,68
  └─ Trade Payables,40.95,38.99,20.33,25.47,32.70,44.48,31.44,27.98,15.61,40.16,51.44,51.66,30.00
  └─ Advance from Customers,8.52,3.85,0.28,0.34,2.95,0.65,0.58,0.27,0.35,1.95,0.34,0.09,
  └─ Other liability items,55.92,69.98,53.10,67.04,54.27,70.21,75.59,89.34,93.06,31.97,28.58,29.02,37.56
Total Liabilities,220,231,204,268,259,283,300,309,304,329,371,375,365
Fixed Assets,100,101,107,165,163,166,183,184,184,190,222,226,225
  └─ Land,3.30,3.30,3.30,79.48,79.48,79.48,81.31,81.40,81.42,81.42,81.42,81.42,
  └─ Building,24.25,24.29,24.65,28.63,28.75,29.47,32.94,33.49,35.34,36.05,36.07,36.07,
  └─ Plant Machinery,115.92,120.63,124.40,52.87,56.75,63.72,77.45,82.93,76.34,79.87,82.33,82.96,
  └─ Computers,0.00,0.00,0.00,0.96,1.05,1.10,1.16,1.21,1.28,1.40,1.50,1.61,
  └─ Furniture n fittings,1.53,1.59,1.68,0.93,1.02,1.09,1.13,1.25,2.34,2.41,2.75,2.96,
  └─ Vehicles,6.72,9.14,9.71,7.27,7.93,9.23,10.34,11.10,12.15,14.65,14.56,16.34,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.64
  └─ Other fixed assets,0.00,0.00,9.52,0.00,0.00,0.00,2.79,4.46,2.68,4.40,38.55,44.61,
  └─ Gross Block,151.72,158.95,173.26,170.14,174.98,184.09,207.12,215.84,211.55,220.20,257.18,265.97,
  └─ Accumulated Depreciation,51.22,57.61,66.06,5.36,11.66,17.88,24.55,31.87,27.08,30.08,35.23,40.13,
CWIP,2,1,2,2,1,2,2,2,5,0,0,0,1
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,117,128,95,101,94,115,116,124,115,139,149,149,139
  └─ Inventories,81,89,65,75,75,68,59,33,20,64,32,34,21
  └─ Trade receivables,8,15,17,16,5,22,33,53,58,32,77,82,68
  └─ Cash Equivalents,1,2,2,1,1,5,3,1,1,0,2,2,0
  └─ Loans n Advances,15,12,4,3,7,6,2,1,4,3,3,5,2
  └─ Other asset items,13,11,7,6,7,14,20,36,32,38,34,27,48
Total Assets,220,231,204,268,259,283,300,309,304,329,371,375,365
