Metric,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025,Mar 2026,Mar 2009
Equity Capital,11,13,13,13,13,14,14,14,14,14,13,13,
Reserves,456,659,954,1013,1015,1309,1372,1432,1473,1498,2085,2394,
Borrowings,493,397,865,1034,1133,786,622,911,1230,1178,553,241,
  └─ Long term Borrowings,,288,542,587,552,359,208,317,523,753,378,135,
  └─ Short term Borrowings,,57,249,347,397,218,292,504,637,405,174,104,
  └─ Lease Liabilities,,0,0,0,0,0,0,0,0,0,1,2,
  └─ Other Borrowings,493,52,74,101,184,210,122,90,70,20,-0,,
Other Liabilities,225,306,446,510,513,522,646,727,756,870,846,904,
  └─ Trade Payables,108,86,122,162,150,145,155,197,217,264,354,172,
  └─ Advance from Customers,3,7,15,16,14,7,8,10,8,13,12,,
  └─ Other liability items,114,213,309,331,349,369,483,521,531,593,479,732,
Total Liabilities,1185,1375,2278,2570,2674,2631,2655,3085,3474,3560,3496,3552,
Fixed Assets,768,812,1197,1505,1519,1588,1514,1524,1681,1950,2032,2023,
  └─ Land,260.66,263.79,494.54,487.43,508.16,528.23,510.05,526.22,566.69,567.49,193.94,,
  └─ Building,163.62,179.42,209.84,276.79,322.53,390.88,350.35,370.92,407.19,468.83,280.56,,
  └─ Plant Machinery,563.61,594.54,690.77,1024.13,1086.07,1172.80,673.85,731.97,887.30,1206.17,1915.29,,
  └─ Equipments,4.58,5.39,8.94,9.68,9.23,10.94,6.06,6.98,9.91,11.84,6.79,,
  └─ Computers,16.44,19.24,25.50,27.21,28.65,36.63,7.67,10.31,14.25,17.48,4.90,,
  └─ Furniture n fittings,9.78,11.30,29.93,34.24,38.14,41.37,31.10,40.02,60.12,76.78,33.61,,
  └─ Vehicles,14.21,15.34,22.38,20.51,21.79,26.66,14.01,25.36,34.03,43.61,62.63,,
  └─ Intangible Assets,3.00,8.55,62.91,63.02,55.82,55.82,28.38,28.38,29.33,27.51,2.29,0.82,
  └─ Other fixed assets,0.00,0.00,0.00,-0.01,0.01,0.00,6.11,6.47,7.89,8.71,534.48,,
  └─ Gross Block,1035.90,1097.57,1544.81,1943.00,2070.40,2263.33,1627.58,1746.63,2016.71,2428.42,3034.49,,
  └─ Accumulated Depreciation,268.00,285.89,347.99,438.43,551.04,675.20,113.49,223.03,335.36,478.17,1002.08,,
CWIP,8,30,333,62,119,34,63,152,209,121,103,195,
Investments,12,36,11,11,11,11,29,136,33,20,35,98,
Other Assets,397,498,737,992,1024,998,1049,1274,1550,1469,1325,1236,
  └─ Inventories,163,222,306,407,444,474,490,492,564,570,399,457,
  └─ Trade receivables,142,164,244,389,419,414,390,398,514,588,396,394,
    └─ Receivables over 6m,5,2,7,9,16,29,0,0,0,0,20,,14
    └─ Receivables under 6m,141,164,239,385,413,400,411,420,541,621,396,,95
    └─ Prov for Doubtful,-5,-2,-2,-5,-9,-15,-21,-23,-27,-33,-20,,-7
  └─ Cash Equivalents,25,22,73,82,60,25,20,144,240,61,364,85,
  └─ Loans n Advances,11,8,19,33,20,9,13,21,32,26,39,35,
  └─ Other asset items,57,82,94,81,80,76,135,218,199,224,127,264,
Total Assets,1185,1375,2278,2570,2674,2631,2655,3085,3474,3560,3496,3552,
