Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,74,87,127,145,176,176,176,176,176,176,176,176,176
Reserves,843,625,364,214,196,509,237,162,-17,-138,-144,-131,-132
Borrowings,1409,1519,1590,1645,1260,434,477,527,394,313,198,92,91
  └─ Long term Borrowings,534,624,563,465,367,37,4,1,6,4,1,1,1
  └─ Short term Borrowings,633,642,701,755,641,298,338,525,379,309,197,91,91
  └─ Lease Liabilities,0,0,0,0,0,0,1,1,9,0,0,0,0
  └─ Other Borrowings,242,253,326,426,252,100,134,0,0,0,0,0,
Other Liabilities,485,554,1235,1200,1312,1055,1103,1007,874,639,453,362,348
  └─ Non controlling int,12,11,-18,-145,-133,1,-5,-7,-6,-9,-11,-19,-18
  └─ Trade Payables,252,270,774,760,740,645,671,608,529,362,278,250,234
  └─ Advance from Customers,37,27,19,62,61,74,40,39,40,12,14,9,
  └─ Other liability items,183,245,460,523,644,335,396,367,312,275,173,122,133
Total Liabilities,2811,2784,3316,3204,2944,2175,1993,1872,1427,991,683,498,484
Fixed Assets,438,538,484,342,321,168,122,114,107,73,75,73,71
  └─ Land,14.61,12.34,10.08,8.50,7.16,6.55,6.35,6.35,6.35,5.08,5.08,5.08,
  └─ Building,142.86,177.07,175.76,120.36,145.45,41.10,53.62,53.24,53.24,53.24,59.51,59.03,
  └─ Plant Machinery,163.83,271.28,273.04,208.70,217.70,161.48,172.74,166.50,166.32,166.56,166.96,166.23,
  └─ Equipments,31.71,31.98,8.96,30.26,30.66,7.24,10.08,10.09,10.12,10.23,10.13,9.64,
  └─ Computers,10.34,10.58,10.26,9.72,9.72,9.12,9.15,9.24,9.26,9.35,9.45,7.19,
  └─ Furniture n fittings,5.47,5.51,5.52,5.39,5.38,4.27,3.22,3.23,3.23,3.23,3.27,2.96,
  └─ Vehicles,128.03,125.33,123.53,95.54,91.13,17.54,30.15,30.97,29.72,30.18,31.24,32.58,
  └─ Intangible Assets,52.04,57.46,49.79,49.78,42.92,42.91,42.91,42.91,35.64,35.64,35.64,35.64,35.66
  └─ Other fixed assets,8.72,8.75,31.87,8.78,8.79,11.54,9.63,9.89,17.92,9.10,9.11,11.13,
  └─ Gross Block,557.61,700.30,688.81,537.03,558.91,301.75,337.85,332.42,331.80,322.61,330.39,329.48,
  └─ Accumulated Depreciation,119.33,162.47,205.00,194.72,237.60,133.37,215.35,218.83,225.06,249.87,255.00,256.46,
CWIP,734,601,603,385,310,143,91,91,94,55,58,18,6
Investments,2,2,2,0,0,226,213,220,156,70,36,0,0
Other Assets,1637,1644,2227,2477,2313,1638,1567,1448,1071,793,514,408,407
  └─ Inventories,58,56,63,21,18,4,6,7,4,5,0,0,0
  └─ Trade receivables,809,796,1144,1333,1309,983,917,903,512,325,156,105,93
    └─ Receivables over 6m,692,736,1171,1369,1356,957,0,819,647,0,339,300,
    └─ Receivables under 6m,192,166,111,112,107,92,972,158,72,522,73,55,
    └─ Prov for Doubtful,-74,-105,-137,-148,-154,-65,-54,-74,-208,-197,-255,-250,
  └─ Cash Equivalents,24,14,21,75,29,14,12,15,10,12,3,5,4
  └─ Loans n Advances,-2,-8,-3,-6,-17,-5,-15,-25,-3,1,-32,-44,50
  └─ Other asset items,748,786,1001,1054,973,642,647,548,547,451,388,342,259
Total Assets,2811,2784,3316,3204,2944,2175,1993,1872,1427,991,683,498,484
