Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,34,34,34
Reserves,326,361,415
Borrowings,112,116,132
  └─ Long term Borrowings,76,64,51
  └─ Short term Borrowings,36,51,81
  └─ Other Borrowings,0,0,
Other Liabilities,92,223,260
  └─ Trade Payables,67,196,216
  └─ Advance from Customers,2,3,
  └─ Other liability items,22,25,45
Total Liabilities,563,733,841
Fixed Assets,312,311,320
  └─ Land,12.28,12.28,
  └─ Building,96.13,101.66,
  └─ Plant Machinery,197.53,206.52,
  └─ Equipments,1.54,1.68,
  └─ Computers,1.82,1.89,
  └─ Furniture n fittings,19.51,19.96,
  └─ Vehicles,4.63,4.84,
  └─ Intangible Assets,0.14,0.16,10.09
  └─ Other fixed assets,3.17,3.57,
  └─ Gross Block,336.75,352.56,
  └─ Accumulated Depreciation,24.31,42.04,
CWIP,2,7,6
Investments,0,0,0
Other Assets,249,416,515
  └─ Inventories,93,138,207
  └─ Trade receivables,119,248,281
  └─ Cash Equivalents,3,3,6
  └─ Loans n Advances,1,3,1
  └─ Other asset items,32,23,19
Total Assets,563,733,841
