Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,100,100,100,111,163,163,163,183,183,183,183,183,186
Reserves,7,-85,-188,-338,-275,-170,-103,82,-2,-79,-298,-650,-584
Borrowings,3150,3089,3220,3336,3053,2958,3032,2768,2431,2303,2097,414,392
  └─ Long term Borrowings,,2913,2866,2957,2639,2515,2521,2143,1714,1589,1030,53,37
  └─ Short term Borrowings,,39,139,207,246,201,125,86,119,696,1057,355,355
  └─ Lease Liabilities,,0,0,0,0,0,0,0,0,18,10,6,0
  └─ Other Borrowings,3150,137,215,172,168,242,387,539,598,0,0,0,
Other Liabilities,74,171,402,526,2494,1946,1847,2174,2286,2346,1723,3259,3210
  └─ Non controlling int,0,0,1,0,0,0,0,-0,13,13,8,-1,-1
  └─ Trade Payables,24,22,146,266,1573,825,701,1017,1185,1074,1241,1128,1132
  └─ Advance from Customers,0,0,0,0,2,142,412,489,546,458,22,81,
  └─ Other liability items,49,148,255,260,919,979,734,668,542,801,453,2051,2079
Total Liabilities,3331,3274,3534,3636,5435,4896,4939,5207,4899,4753,3706,3207,3205
Fixed Assets,2207,2151,2364,2156,3588,2465,2479,2082,1478,1265,1124,45,39
  └─ Land,0.00,0.00,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.00,0.00,
  └─ Building,0.00,0.00,4.65,4.65,14.83,14.76,20.31,21.30,27.83,42.05,30.69,15.86,
  └─ Plant Machinery,0.00,0.00,0.00,0.00,13.08,11.51,32.94,43.60,24.67,14.13,4.41,0.45,
  └─ Equipments,0.00,0.00,1.13,2.86,2.38,24.94,32.48,31.64,95.70,98.45,86.45,69.89,
  └─ Computers,0.00,0.00,2.96,5.26,3.00,3.76,8.37,9.18,17.09,24.04,7.94,5.94,
  └─ Furniture n fittings,0.00,0.00,1.96,2.01,1.15,2.97,3.24,3.33,7.14,7.30,7.27,7.24,
  └─ Vehicles,0.00,0.00,14.27,15.38,12.98,11.89,29.08,35.25,37.54,37.54,19.12,17.52,
  └─ Intangible Assets,0.00,0.00,69.69,26.52,5520.07,5098.01,5379.66,4054.88,3758.24,3788.93,3414.07,1462.01,26.18
  └─ Other fixed assets,2207.36,2151.27,2628.52,2631.12,24.08,-0.01,0.00,-0.01,16.28,0.00,-0.01,0.00,
  └─ Gross Block,2207.36,2151.27,2723.45,2688.07,5591.83,5168.09,5506.34,4199.43,3984.75,4012.70,3569.94,1578.91,
  └─ Accumulated Depreciation,0.00,0.00,359.76,532.14,2004.01,2703.37,3027.42,2117.92,2507.05,2747.23,2445.75,1534.11,
CWIP,0,0,6,16,7,28,27,26,0,0,0,0,0
Investments,3,3,1,32,22,166,240,280,332,317,85,65,53
Other Assets,1121,1120,1164,1431,1818,2237,2193,2819,3090,3171,2496,3097,3113
  └─ Inventories,0,0,0,0,0,0,0,11,14,14,5,4,4
  └─ Trade receivables,4,38,29,26,0,35,86,82,40,68,2,21,22
    └─ Receivables over 6m,3.03,21.77,6.21,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.56,
    └─ Receivables under 6m,1.46,16.63,22.53,25.74,0.17,35.40,86.44,82.45,40.01,67.93,2.46,17.06,
  └─ Cash Equivalents,82,154,162,135,149,144,113,113,91,48,45,15,13
  └─ Loans n Advances,244,132,3,70,44,141,62,84,263,283,253,136,90
  └─ Other asset items,790,796,970,1200,1626,1916,1932,2529,2681,2757,2191,2923,2984
Total Assets,3331,3274,3534,3636,5435,4896,4939,5207,4899,4753,3706,3207,3205
