Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,1,1,4,25,25
Reserves,-3,-0,26,82,94
Borrowings,35,37,33,11,37
  └─ Long term Borrowings,31.12,33.44,28.65,8.79,23.11
  └─ Short term Borrowings,3.61,3.63,4.58,2.30,13.65
  └─ Other Borrowings,0.00,-0.01,0.01,-0.01,
Other Liabilities,1,5,11,21,28
  └─ Non controlling int,0.00,1.01,0.95,6.36,7.17
  └─ Trade Payables,0.70,0.95,1.91,3.88,8.00
  └─ Advance from Customers,0.00,0.05,2.80,0.86,
  └─ Other liability items,0.56,2.60,5.02,10.27,12.66
Total Liabilities,34,42,74,139,184
Fixed Assets,28,31,35,63,84
  └─ Building,28.10,31.80,35.67,57.66,
  └─ Plant Machinery,0.22,0.48,0.47,4.23,
  └─ Equipments,0.00,0.00,0.06,0.09,
  └─ Computers,0.00,0.05,0.08,0.51,
  └─ Furniture n fittings,0.22,0.38,1.33,3.76,
  └─ Vehicles,0.76,0.91,0.94,1.57,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.50
  └─ Other fixed assets,-0.02,0.06,0.02,0.67,
  └─ Gross Block,29.28,33.68,38.57,68.49,
  └─ Accumulated Depreciation,1.78,2.85,3.97,5.80,
CWIP,0,0,5,0,5
Investments,0,0,0,0,0
Other Assets,7,11,34,76,94
  └─ Inventories,0,0,0,1,1
  └─ Trade receivables,3,1,3,5,14
    └─ Receivables over 6m,0.00,0.00,2.89,5.34,
    └─ Receivables under 6m,2.53,1.25,0.00,0.00,
    └─ Prov for Doubtful,0.00,0.00,0.00,-0.05,
  └─ Cash Equivalents,0,0,8,33,5
  └─ Loans n Advances,2,0,2,3,6
  └─ Other asset items,2,9,21,34,68
Total Assets,34,42,74,139,184
