Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,595,598,600,603,694,773,775,776,778,779,779
Reserves,17102,20049,23243,26085,34054,42727,47252,54229,62429,64057,64809
Deposits,93000,127572,151639,194868,202027,255870,293349,336120,384586,410862,399931
Borrowing,24996,21454,38289,47321,60754,51323,47323,49011,47611,53704,42789
Other Liabilities,7205,8976,7856,8944,9700,12210,13268,17701,19689,24706,35086
  └─ Trade Payables,520,600,668,574,477,662,844,1145,1394,1340,0
  └─ Other liability items,6685,8376,7189,8371,9223,11548,12424,16556,18295,23366,35086
Total Liabilities,142898,178650,221628,277821,307229,362903,401967,457837,515094,554107,543394
Fixed Assets,1218,1307,1313,1688,1792,1801,1834,1944,2127,2309,2546
  └─ Building,590.02,586.59,575.64,874.16,874.16,869.98,869.98,869.98,872.05,872.05,
  └─ Other fixed assets,1465.63,1735.37,1945.10,2222.34,2602.58,2908.47,3242.46,3652.75,4151.76,4746.74,
  └─ Gross Block,2055.65,2321.96,2520.74,3096.50,3476.74,3778.45,4112.44,4522.73,5023.81,5618.79,
  └─ Accumulated Depreciation,837.80,1015.16,1207.43,1408.44,1684.70,1977.94,2278.21,2579.23,2896.74,3310.05,
CWIP,37,28,25,22,79,75,95,135,197,188,0
Investments,34056,36704,50078,59268,59938,69653,70930,83076,106486,114457,125007
Other Assets,107587,140611,170211,216843,245419,291374,329109,372682,406283,437154,415841
  └─ Cash Equivalents,3782,6613,9893,8997,12274,16522,14371,41736,17334,49711,29946
  └─ Loans n Advances,457,687,819,1241,1575,874,1264,240,844,2428,315871
  └─ Other asset items,103349,133311,159498,206605,231570,273978,313473,330707,388106,385015,70024
Total Assets,142898,178650,221628,277821,307229,362903,401967,457837,515094,554107,543394
