Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,16,16,16,16,17,19,20,20,20,20,20,23,
Reserves,162,170,213,223,267,338,399,469,554,491,407,660,
Borrowings,228,232,213,237,210,268,202,531,724,789,399,312,
  └─ Long term Borrowings,14,36,30,20,12,22,71,172,203,149,85,0,
  └─ Short term Borrowings,183,180,168,199,186,227,113,354,517,639,311,301,
  └─ Lease Liabilities,0,0,0,0,0,7,4,5,3,0,3,11,
  └─ Other Borrowings,31,17,15,18,13,12,14,0,0,0,0,,
Other Liabilities,260,193,209,237,248,330,355,496,616,518,437,369,
  └─ Trade Payables,164,107,142,183,209,268,275,374,485,330,296,284,
  └─ Advance from Customers,11,15,18,17,13,7,8,11,7,11,31,,
  └─ Other liability items,85,71,49,38,26,54,73,112,124,178,110,85,
Total Liabilities,665,611,651,713,742,955,976,1516,1914,1818,1263,1364,
Fixed Assets,176,167,163,158,141,191,220,238,402,439,439,470,
  └─ Land,4.42,4.42,25.08,25.08,25.08,25.08,54.22,54.22,54.26,61.10,61.10,,
  └─ Building,50.41,53.10,48.32,49.95,50.78,63.84,69.03,73.37,143.59,149.90,149.79,,
  └─ Plant Machinery,300.92,310.00,313.74,321.75,324.76,377.51,388.95,422.33,522.50,567.08,554.03,,
  └─ Equipments,2.14,2.28,2.18,2.27,2.47,2.67,2.72,3.19,3.55,4.00,4.33,,
  └─ Computers,4.84,5.19,5.75,5.70,5.93,6.43,6.24,7.16,7.28,8.16,8.82,,
  └─ Furniture n fittings,5.89,5.95,5.93,6.00,6.17,6.22,6.29,6.47,7.60,8.02,8.08,,
  └─ Vehicles,1.85,1.47,1.73,1.51,1.52,6.38,6.73,5.15,4.88,4.36,2.00,,
  └─ Intangible Assets,5.10,5.10,11.98,14.39,12.65,12.80,14.22,7.85,9.57,13.53,18.46,21.60,
  └─ Other fixed assets,1.20,7.70,3.24,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,,
  └─ Gross Block,376.77,395.21,417.95,430.44,433.15,504.72,552.19,583.53,757.02,819.94,810.40,,
  └─ Accumulated Depreciation,201.07,228.51,255.08,272.61,291.72,314.10,332.49,345.32,354.63,381.36,371.38,,
CWIP,12,6,7,5,21,42,36,116,71,47,43,7,
Investments,12,13,9,9,14,15,16,13,14,15,16,8,
Other Assets,466,426,473,541,566,707,704,1148,1427,1318,766,879,
  └─ Inventories,186,183,212,202,224,164,228,411,491,347,266,283,
  └─ Trade receivables,221,188,221,287,268,359,336,529,772,767,315,458,
    └─ Receivables over 6m,21,21,0,0,0,0,0,14,30,36,113,,20
    └─ Receivables under 6m,201,168,236,295,270,364,339,520,749,750,257,,140
    └─ Prov for Doubtful,0,0,-15,-8,-2,-5,-3,-5,-8,-19,-55,,0
  └─ Cash Equivalents,12,14,8,8,12,118,76,103,73,66,59,35,
  └─ Loans n Advances,14,13,16,8,13,16,13,7,16,14,18,7,
  └─ Other asset items,32,28,16,36,49,49,51,98,75,125,107,96,
Total Assets,665,611,651,713,742,955,976,1516,1914,1818,1263,1364,
