Metric,Jun 2006
Equity Capital,6
Reserves,37
Borrowings,98
  └─ Preference Capital,2
  └─ Other Borrowings,96
Other Liabilities,50
  └─ Trade Payables,25.48
  └─ Advance from Customers,4.75
  └─ Other liability items,19.55
Total Liabilities,191
Fixed Assets,64
  └─ Land,2
  └─ Building,31
  └─ Plant Machinery,99
  └─ Equipments,1
  └─ Furniture n fittings,8
  └─ Railway sidings,0
  └─ Vehicles,4
  └─ Intangible Assets,3
  └─ Other fixed assets,1
  └─ Gross Block,149
  └─ Accumulated Depreciation,86
CWIP,4
Investments,0
Other Assets,123
  └─ Inventories,85
  └─ Trade receivables,17
    └─ Receivables over 6m,1.69
    └─ Receivables under 6m,15.15
    └─ Prov for Doubtful,-0.31
  └─ Cash Equivalents,5
  └─ Loans n Advances,2
  └─ Other asset items,15
Total Assets,191
