Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,22,23,24,48,48,48,48,48,48,49,49,53,
Reserves,56,102,154,212,281,368,372,430,325,395,487,754,
Borrowings,82,87,120,114,123,132,109,122,162,156,183,191,
  └─ Long term Borrowings,31,32,44,32,36,29,23,13,38,33,52,24,
  └─ Short term Borrowings,39,43,54,67,69,67,65,92,97,96,105,154,
  └─ Lease Liabilities,0,0,0,0,0,15,8,8,12,9,6,12,
  └─ Other Borrowings,13,12,22,15,18,21,14,10,14,18,20,,
Other Liabilities,77,97,154,207,147,170,102,71,61,61,70,131,
  └─ Trade Payables,23,18,21,47,36,39,16,15,20,18,22,28,
  └─ Advance from Customers,0,2,1,0,1,1,0,0,0,0,0,,
  └─ Other liability items,54,77,133,159,110,131,86,55,41,42,48,103,
Total Liabilities,237,309,452,581,599,718,632,672,596,660,789,1129,
Fixed Assets,107,118,222,228,220,278,206,199,64,69,63,116,
  └─ Land,1,1,0,0,0,0,0,0,0,0,0,,
  └─ Building,0,0,1,1,1,18,16,1,26,29,31,,
  └─ Plant Machinery,6,7,0,0,0,0,0,0,0,1,1,,
  └─ Equipments,0,0,7,7,8,8,8,29,9,9,10,,
  └─ Computers,10,12,6,6,6,6,7,10,12,16,17,,
  └─ Furniture n fittings,3,3,7,8,10,12,12,12,12,13,13,,
  └─ Vehicles,3,2,2,2,3,3,3,4,4,4,4,,
  └─ Intangible Assets,97,109,209,211,199,226,162,153,12,12,12,97,
  └─ Other fixed assets,0,0,9,17,25,50,55,61,71,84,93,,
  └─ Gross Block,120,134,241,252,252,324,264,269,146,168,181,,
  └─ Accumulated Depreciation,13,16,20,25,32,46,58,70,83,99,118,,
CWIP,0,1,1,-0,-0,-0,-0,-0,-0,18,32,165,
Investments,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,
Other Assets,129,190,229,353,379,441,425,473,533,573,694,848,
  └─ Inventories,0,3,2,2,3,0,0,0,0,0,6,0,
  └─ Trade receivables,76,122,147,187,180,203,206,223,257,269,326,393,
    └─ Receivables over 6m,2,8,0,0,0,0,0,12,55,31,33,,1
    └─ Receivables under 6m,74,114,147,188,181,203,206,211,201,238,293,,29
    └─ Prov for Doubtful,0,0,0,-1,-1,-1,-1,-0,0,-0,-0,,0
  └─ Cash Equivalents,17,8,16,21,26,30,39,25,30,28,28,37,
  └─ Loans n Advances,7,9,3,7,6,7,7,7,12,13,10,2,
  └─ Other asset items,28,47,60,136,164,201,174,219,235,264,324,416,
Total Assets,237,309,452,581,599,718,632,672,596,660,789,1129,
