Metric,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,4535,7220,8637,9734,10833,12210,13409,14028,14703,16699,18484,20970
Borrowings,1903,2464,2333,2163,2506,1854,2388,3229,3014,2822,3771,3207
  └─ Long term Borrowings,1199,1486,1238,1319,1055,779,812,817,824,724,374,176
  └─ Short term Borrowings,616,886,834,691,1048,731,1209,2001,1606,1351,2530,2191
  └─ Lease Liabilities,0,0,0,0,0,0,368,411,584,746,866,840
  └─ Other Borrowings,88,92,260,152,404,344,0,0,0,0,0,
Other Liabilities,3391,3566,4075,4577,5098,5373,6780,5799,6648,7325,7307,7772
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Trade Payables,1150,1126,1408,1569,1709,1905,3306,2057,2436,2653,2822,3211
  └─ Advance from Customers,37,31,35,0,0,0,0,0,0,0,0,
  └─ Other liability items,2203,2408,2631,3008,3388,3468,3474,3742,4212,4672,4485,4561
Total Liabilities,9833,13254,15048,16478,18441,19442,22582,23060,24369,26849,29567,31954
Fixed Assets,3436,4608,5502,6092,6786,8870,9441,9522,10118,12046,13221,12966
  └─ Land,349.90,494.93,610.97,612.84,625.89,670.39,677.33,678.20,684.01,707.30,713.02,
  └─ Building,977.36,1090.24,1436.53,1774.16,1923.51,3079.66,3475.65,3704.93,4292.26,5106.49,5671.79,
  └─ Plant Machinery,4276.93,3239.15,4004.91,4751.10,5737.94,7314.17,8421.08,9213.63,10104.70,12203.57,14074.84,
  └─ Equipments,456.61,243.55,348.54,428.88,535.08,673.56,746.76,869.13,973.32,1161.12,1299.20,
  └─ Computers,43.94,20.60,29.89,32.53,35.82,46.00,53.97,56.73,66.82,79.57,90.65,
  └─ Furniture n fittings,22.45,10.46,14.31,17.70,21.16,25.83,33.55,36.80,39.09,42.37,49.33,
  └─ Vehicles,30.90,21.39,25.60,28.84,125.81,148.76,162.84,179.82,214.24,230.86,240.85,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.90
  └─ Other fixed assets,182.86,144.69,260.66,324.85,392.44,468.35,507.38,548.17,598.47,695.87,783.09,
  └─ Gross Block,6340.95,5265.01,6731.41,7970.90,9397.65,12426.72,14078.56,15287.41,16972.91,20227.15,22922.77,
  └─ Accumulated Depreciation,2905.09,656.72,1229.17,1878.73,2611.65,3556.96,4637.81,5765.59,6854.94,8180.93,9701.99,
CWIP,628,1059,848,1079,1403,1741,1002,1233,3046,2385,1169,1034
Investments,1081,3138,3382,4145,3855,1519,5874,3656,3085,3383,4548,3398
Other Assets,4688,4448,5316,5162,6397,7312,6265,8648,8120,9036,10629,14555
  └─ Inventories,1826,1900,2425,2197,2993,2905,2939,4130,4141,4469,5625,5417
  └─ Trade receivables,1715,1839,1969,2150,2383,2299,2146,2333,2503,2912,3370,3542
  └─ Cash Equivalents,728,124,343,233,104,1181,169,256,258,345,376,2183
  └─ Loans n Advances,32,52,64,64,49,57,70,75,80,98,111,2050
  └─ Other asset items,387,533,515,518,867,869,940,1855,1138,1212,1146,1364
Total Assets,9833,13254,15048,16478,18441,19442,22582,23060,24369,26849,29567,31954
