Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,13.97,16.64,34.99,35.15,35.15,49.15,10.31,10.31,10.31,10.31,10.31
Reserves,72.21,239.22,384.55,129.97,-17.66,-6.74,-3.55,-3.28,-3.56,-1.65,-0.92
Borrowings,0.01,0.00,0.72,0.47,2.63,7.46,0.51,1.39,1.99,8.85,11.16
  └─ Long term Borrowings,,,,,,,0.51,1.39,1.99,8.85,11.16
  └─ Other Borrowings,0.01,0.00,0.72,0.47,2.63,7.46,0.00,0.00,0.00,0.00,
Other Liabilities,18.49,24.68,35.14,26.52,9.92,15.53,0.40,1.01,1.23,9.53,12.27
  └─ Non controlling int,1.41,0.00,3.19,0.00,0.00,0.49,0.00,0.00,0.00,4.58,5.68
  └─ Trade Payables,8.67,13.95,14.06,23.22,6.01,9.71,0.00,0.00,0.00,0.55,0.78
  └─ Advance from Customers,0.18,0.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Other liability items,8.23,10.73,17.89,2.48,3.91,5.33,0.40,1.01,1.23,4.40,5.81
Total Liabilities,104.68,280.54,455.40,192.11,30.04,65.40,7.67,9.43,9.97,27.04,32.82
Fixed Assets,20.40,23.75,176.66,106.20,7.72,11.57,7.66,7.87,7.70,8.40,11.99
  └─ Building,0.39,1.25,3.62,3.38,2.51,2.53,0.53,0.53,0.55,0.55,
  └─ Plant Machinery,3.37,0.18,5.38,6.40,6.32,6.32,0.00,0.00,0.00,0.00,
  └─ Equipments,0.08,1.54,2.46,1.27,1.29,1.31,0.00,0.01,0.03,2.14,
  └─ Computers,22.12,30.79,188.47,177.11,133.90,137.36,8.20,8.65,8.68,10.07,
  └─ Furniture n fittings,0.11,0.32,0.79,1.77,0.68,0.72,0.00,0.00,0.00,0.86,
  └─ Vehicles,0.62,0.39,1.39,1.37,1.38,1.21,0.00,0.00,0.00,0.00,
  └─ Intangible Assets,1.64,1.64,1.64,1.64,1.64,9.50,0.00,0.00,0.00,0.00,9.32
  └─ Other fixed assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,
  └─ Gross Block,28.33,36.11,203.75,192.94,147.72,158.95,8.73,9.19,9.27,13.63,
  └─ Accumulated Depreciation,7.93,12.36,27.09,86.74,140.00,147.38,1.07,1.31,1.57,5.22,
CWIP,0.79,35.85,31.61,0.10,0.00,0.00,0.00,0.00,0.00,1.22,0.00
Investments,2.71,23.66,15.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Other Assets,80.78,197.28,231.17,85.81,22.32,53.83,0.01,1.56,2.27,17.42,20.83
  └─ Inventories,2.32,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00
  └─ Trade receivables,40.57,140.26,116.82,38.55,7.88,25.37,0.00,0.68,1.74,7.60,8.32
    └─ Receivables over 6m,15.87,0.00,0.00,20.90,23.89,24.20,0.00,0.68,1.74,7.60,
    └─ Receivables under 6m,24.70,140.26,116.85,38.55,6.41,24.50,0.00,0.00,0.00,0.00,
    └─ Prov for Doubtful,0.00,0.00,-0.03,-20.90,-22.42,-23.33,0.00,0.00,0.00,0.00,
  └─ Cash Equivalents,20.00,49.64,57.07,16.42,2.80,7.10,0.01,0.75,0.13,4.96,6.18
  └─ Loans n Advances,10.61,0.00,3.79,4.90,5.46,4.32,0.00,0.00,0.00,0.31,0.00
  └─ Other asset items,7.28,7.38,53.49,25.94,6.18,16.83,0.00,0.13,0.40,4.55,6.33
Total Assets,104.68,280.54,455.40,192.11,30.04,65.40,7.67,9.43,9.97,27.04,32.82
