Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2013
Equity Capital,26,113,127,145,146,148,148,148,148,149,149,149,
Reserves,226,243,1178,2315,2580,2128,2195,2290,2421,2650,936,1017,
Borrowings,224,393,779,1166,831,1473,791,915,1011,838,113,124,
  └─ Long term Borrowings,0,35,274,269,209,115,54,24,9,2,0,0,
  └─ Short term Borrowings,220,343,470,698,541,883,461,564,522,368,12,0,
  └─ Lease Liabilities,0,0,0,0,0,324,275,327,480,469,101,124,
  └─ Other Borrowings,3,15,35,200,81,151,-0,0,0,0,0,,
Other Liabilities,244,500,780,1271,1455,1570,1586,2093,2539,2618,1614,1748,
  └─ Non controlling int,0,0,1,2,3,77,94,131,162,166,1,2,
  └─ Trade Payables,4,67,78,148,173,163,121,115,125,118,59,27,
  └─ Advance from Customers,12,15,34,1,4,7,6,8,13,20,2,,
  └─ Other liability items,228,418,668,1121,1275,1323,1365,1839,2238,2315,1552,1719,
Total Liabilities,719,1250,2864,4898,5012,5318,4720,5445,6119,6255,2812,3039,
Fixed Assets,129,252,1172,1632,1656,1487,1505,1657,1796,1695,341,388,
  └─ Land,0,0,0,47,47,47,47,47,47,47,0,,
  └─ Building,8,20,23,69,75,471,512,642,473,472,104,,
  └─ Plant Machinery,9,6,25,62,64,61,62,68,74,70,1,,
  └─ Equipments,6,13,16,40,46,54,55,55,51,44,2,,
  └─ Computers,15,46,33,83,164,209,223,295,318,323,134,,
  └─ Furniture n fittings,8,6,8,20,27,33,33,34,35,27,0,,
  └─ Vehicles,1,1,3,8,10,12,9,8,7,7,0,,
  └─ Intangible Assets,110,204,919,1132,1183,842,995,1016,1050,1011,236,265,
  └─ Other fixed assets,13,10,214,382,405,550,557,621,637,637,138,,
  └─ Gross Block,171,306,1242,1844,2021,2279,2494,2787,2692,2638,615,,
  └─ Accumulated Depreciation,41,54,70,213,364,792,989,1130,896,943,274,,
CWIP,0,2,8,2,15,5,31,15,18,33,0,0,
Investments,0,4,78,286,128,106,54,102,50,93,0,51,
Other Assets,590,992,1607,2978,3212,3721,3131,3671,4255,4434,2471,2600,
  └─ Inventories,0,2,7,8,22,28,29,27,28,7,0,0,
  └─ Trade receivables,275,405,509,921,913,998,1800,2332,2689,2772,1529,808,
    └─ Receivables over 6m,45,442,0,0,0,0,0,0,262,320,168,,3
    └─ Receivables under 6m,237,0,562,973,972,1065,2002,2534,2697,2836,1702,,123
    └─ Prov for Doubtful,-8,-36,-53,-52,-59,-67,-202,-202,-270,-384,-341,,-2
  └─ Cash Equivalents,82,109,463,837,586,759,565,512,566,545,267,207,
  └─ Loans n Advances,38,30,37,205,72,95,84,98,123,139,71,77,
  └─ Other asset items,195,445,590,1008,1619,1841,654,701,849,971,604,1508,
Total Assets,719,1250,2864,4898,5012,5318,4720,5445,6119,6255,2812,3039,
