Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,11,12
Reserves,288,389,478
Borrowings,150,213,371
  └─ Long term Borrowings,55,69,95
  └─ Short term Borrowings,31,53,41
  └─ Lease Liabilities,65,90,236
Other Liabilities,51,71,82
  └─ Non controlling int,0.00,0.11,0.00
  └─ Trade Payables,16.09,25.52,38.92
  └─ Advance from Customers,0.12,0.00,
  └─ Other liability items,35.12,45.16,42.87
Total Liabilities,500,684,943
Fixed Assets,366,429,592
  └─ Plant Machinery,0.03,0.13,
  └─ Equipments,0.68,0.68,
  └─ Computers,1.02,1.19,
  └─ Furniture n fittings,1.17,1.17,
  └─ Vehicles,4.49,4.79,
  └─ Intangible Assets,0.00,10.70,17.70
  └─ Other fixed assets,431.22,504.17,
  └─ Gross Block,438.61,522.83,
  └─ Accumulated Depreciation,73.07,93.90,
CWIP,7,46,88
Investments,0,1,0
Other Assets,127,208,263
  └─ Inventories,7,8,8
  └─ Trade receivables,46,64,62
    └─ Receivables over 6m,10.64,14.21,
    └─ Receivables under 6m,35.55,49.33,
  └─ Cash Equivalents,4,37,18
  └─ Loans n Advances,12,37,85
  └─ Other asset items,58,62,91
Total Assets,500,684,943
