Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Sep 2019
Equity Capital,3.10,3.10,3.10,3.10,3.10
Reserves,-0.07,-0.10,-0.11,-0.11,-0.04
Borrowing,0.05,0.05,0.05,0.05,0.96
Other Liabilities,0.21,0.22,0.25,0.26,0.27
  └─ Non controlling int,0.15,0.15,0.15,0.15,0.15
  └─ Other liability items,0.06,0.07,0.10,0.11,0.12
Total Liabilities,3.29,3.27,3.29,3.30,4.29
Fixed Assets,0.27,0.27,0.27,0.27,0.26
  └─ Computers,0.02,0.02,0.02,0.02,
  └─ Furniture n fittings,0.03,0.03,0.03,0.03,
  └─ Other fixed assets,0.26,0.26,0.26,0.26,
  └─ Gross Block,0.31,0.31,0.31,0.31,
  └─ Accumulated Depreciation,0.05,0.05,0.05,0.05,
CWIP,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00
Other Assets,3.02,3.00,3.02,3.03,4.03
  └─ Trade receivables,0.01,0.01,0.01,0.01,0.05
  └─ Cash Equivalents,0.28,0.14,0.13,0.12,0.18
  └─ Loans n Advances,0.00,0.02,0.03,0.00,0.00
  └─ Other asset items,2.73,2.83,2.85,2.90,3.80
Total Assets,3.29,3.27,3.29,3.30,4.29
