Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,29,
Reserves,290,338,399,466,545,570,549,555,565,526,444,241,
Borrowings,137,212,296,201,202,251,269,254,321,340,304,302,
  └─ Long term Borrowings,0,23,13,2,0,24,17,12,13,7,6,5,
  └─ Short term Borrowings,105,154,254,186,197,215,245,236,300,325,295,295,
  └─ Lease Liabilities,0,0,0,0,0,2,1,0,0,2,2,2,
  └─ Other Borrowings,31,35,29,13,5,10,6,6,8,6,2,,
Other Liabilities,34,35,58,37,56,54,31,53,126,128,90,114,
  └─ Non controlling int,0,-1,-3,-4,-4,-4,-4,-5,-4,-4,-3,-3,
  └─ Trade Payables,16,11,19,18,30,49,25,49,94,107,68,88,
  └─ Advance from Customers,0,0,0,1,0,0,0,1,12,1,0,,
  └─ Other liability items,17,26,42,22,30,9,10,7,24,24,25,29,
Total Liabilities,488,613,780,731,830,902,877,889,1038,1022,866,686,
Fixed Assets,30,30,35,33,32,34,27,22,36,44,41,41,
  └─ Land,0.00,0.00,7.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Building,9.82,9.82,0.00,9.84,9.84,12.91,13.25,12.93,27.20,35.53,35.88,,
  └─ Plant Machinery,41.83,44.25,23.07,50.79,53.57,59.21,59.41,31.78,32.43,33.55,33.68,,
  └─ Computers,0.00,0.00,0.07,0.06,0.08,0.12,0.00,17.89,20.28,22.86,24.46,,
  └─ Furniture n fittings,4.16,4.31,1.70,5.31,5.35,5.89,5.89,5.80,5.90,5.97,5.97,,
  └─ Vehicles,2.49,2.62,1.84,2.63,2.79,2.75,2.70,3.21,3.21,4.00,4.56,,
  └─ Intangible Assets,0.00,0.25,0.22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,3.70,
  └─ Other fixed assets,2.63,3.00,1.14,3.54,3.95,4.38,4.58,4.94,5.13,5.75,5.99,,
  └─ Gross Block,60.93,64.25,35.98,72.42,75.83,85.51,86.08,76.80,94.40,107.91,110.79,,
  └─ Accumulated Depreciation,31.42,34.66,1.21,39.16,44.20,51.51,58.79,54.31,58.42,63.62,69.43,,
CWIP,0,1,0,0,0,0,0,0,1,0,0,0,
Investments,17,8,7,7,6,3,3,3,3,3,0,0,
Other Assets,442,574,738,691,792,865,847,864,999,975,825,644,
  └─ Inventories,289,388,500,530,603,714,730,715,735,682,568,339,
  └─ Trade receivables,127,107,191,141,159,105,55,57,127,145,106,69,
    └─ Receivables over 6m,7,4,0,0,0,0,0,0,6,10,7,,6
    └─ Receivables under 6m,120,103,191,141,159,105,55,60,123,141,103,,134
    └─ Prov for Doubtful,0,0,-0,-0,-0,-0,-0,-3,-3,-6,-3,,0
  └─ Cash Equivalents,2,2,2,1,1,1,7,8,2,0,3,5,
  └─ Loans n Advances,13,65,2,1,1,18,48,68,115,117,64,2,
  └─ Other asset items,11,12,44,19,28,28,6,16,20,30,83,229,
Total Assets,488,613,780,731,830,902,877,889,1038,1022,866,686,
