Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Equity Capital,11,11,11,11,11,11
Reserves,26,37,48,55,42,26
Borrowings,6,7,25,35,37,14
  └─ Long term Borrowings,0.23,0.23,0.24,0.08,0.02,0.06
  └─ Short term Borrowings,5.91,6.34,25.02,35.34,36.64,14.04
  └─ Other Borrowings,0.07,0.00,0.00,0.00,0.01,
Other Liabilities,36,40,31,24,16,17
  └─ Trade Payables,29.27,20.28,17.55,13.30,8.65,8.97
  └─ Advance from Customers,1.75,0.00,0.00,0.20,0.20,
  └─ Other liability items,4.91,19.84,12.97,10.92,6.89,8.28
Total Liabilities,79,94,114,125,105,68
Fixed Assets,3,3,3,10,10,9
  └─ Land,0.09,0.09,0.09,0.09,0.09,
  └─ Building,0.93,0.93,0.93,6.51,6.51,
  └─ Equipments,0.51,0.67,0.73,2.85,2.96,
  └─ Computers,0.90,1.12,1.29,1.35,1.36,
  └─ Furniture n fittings,0.22,0.22,0.43,0.96,0.96,
  └─ Vehicles,0.98,1.14,1.28,1.32,1.32,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.09
  └─ Other fixed assets,4.31,4.44,4.27,4.29,4.29,
  └─ Gross Block,7.94,8.61,9.02,17.37,17.49,
  └─ Accumulated Depreciation,5.12,5.66,5.87,6.86,7.84,
CWIP,0,2,8,0,0,0
Investments,0,0,0,0,0,0
Other Assets,76,89,103,114,95,59
  └─ Trade receivables,67.20,75.81,92.66,101.33,65.52,23.46
  └─ Cash Equivalents,6.96,4.08,2.58,5.46,6.21,9.40
  └─ Loans n Advances,0.36,0.23,0.17,0.16,0.11,16.32
  └─ Other asset items,1.21,8.86,7.96,7.43,23.50,9.94
Total Assets,79,94,114,125,105,68
