Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.03,0.03,0.03,0.00,764,836,868,907,919
Reserves,1036,2356,457,7644,15741,18624,19545,29410,30061
Borrowings,186,348,326,527,70,507,749,2045,4592
  └─ Long term Borrowings,1,1,1,0,0,6,0,0,0
  └─ Short term Borrowings,0,0,0,1,0,35,0,0,0
  └─ Lease Liabilities,29,103,72,71,70,466,749,2045,4592
  └─ Preference Capital,174,244,252,455,0,0,0,0,0
  └─ Other Borrowings,-18,0,0,0,0,0,0,0,
Other Liabilities,152,709,2117,532,751,1632,2194,3261,5164
  └─ Non controlling int,8,-31,-6,-6,-7,-7,-7,-7,-7
  └─ Trade Payables,67,376,269,297,429,679,886,1536,3010
  └─ Advance from Customers,7,28,30,29,18,17,17,21,
  └─ Other liability items,69,336,1825,212,311,943,1298,1711,2161
Total Liabilities,1374,3413,2900,8704,17327,21599,23356,35623,40736
Fixed Assets,190,389,1591,1539,1404,6344,6448,9532,12675
  └─ Building,10,29,37,38,40,606,805,2172,
  └─ Plant Machinery,0,1,1,3,13,122,192,585,
  └─ Equipments,12,12,13,13,4,3,0,0,
  └─ Computers,22,43,46,47,71,95,120,238,
  └─ Furniture n fittings,5,10,13,12,9,56,101,267,
  └─ Vehicles,1,1,1,1,1,1,1,1,
  └─ Intangible Assets,471,574,1839,1878,1843,6054,5711,6744,6348
  └─ Other fixed assets,143,244,359,374,363,538,543,986,
  └─ Gross Block,664,913,2308,2366,2345,7475,7473,10993,
  └─ Accumulated Depreciation,474,524,717,827,941,1131,1025,1461,
CWIP,1,1,1,0,1,7,18,51,136
Investments,829,2145,324,2205,4718,6765,11645,13192,14833
Other Assets,354,879,985,4959,11204,8483,5245,12848,13092
  └─ Inventories,0,2,4,15,40,83,88,176,2181
  └─ Trade receivables,26,70,123,130,160,457,794,1946,1764
  └─ Cash Equivalents,208,239,360,904,1576,1017,731,3614,1523
  └─ Loans n Advances,14,37,71,75,374,41,0,624,1606
  └─ Other asset items,106,530,428,3836,9056,6885,3632,6488,6018
Total Assets,1374,3413,2900,8704,17327,21599,23356,35623,40736
