Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025,Mar 2013
Equity Capital,218,218,218,218,218,218,218,218,218,218,218,218,218,
Reserves,2562,2454,2413,2265,1947,725,390,-37,-521,-1320,-1914,-2259,-2472,
Borrowings,3139,3092,3126,3911,4400,4215,3143,3519,3537,3427,3240,3325,3300,
  └─ Long term Borrowings,2148,2351,2504,3256,3192,3097,1974,2134,2096,1954,1641,1713,1719,
  └─ Short term Borrowings,777,419,383,461,463,477,397,1136,1123,1014,1202,1207,1172,
  └─ Lease Liabilities,0,0,0,0,0,0,0,249,319,459,398,405,409,
  └─ Other Borrowings,213,321,240,194,745,642,772,0,-0,0,-0,,,
Other Liabilities,2213,1531,1712,1563,1825,4530,4339,4159,3691,4059,4404,4116,4330,
  └─ Non controlling int,114,109,188,170,163,77,4,2,11,88,93,118,135,
  └─ Trade Payables,966,636,679,695,764,794,853,711,715,724,742,801,829,
  └─ Advance from Customers,366,370,354,284,289,2943,2218,2139,1560,1591,1561,,,
  └─ Other liability items,768,416,491,414,609,715,1265,1307,1405,1656,2009,3197,3366,
Total Liabilities,8132,7294,7469,7956,8390,9688,8089,7859,6925,6383,5948,5400,5377,
Fixed Assets,163,516,480,575,548,564,860,900,919,1028,898,1707,1712,
  └─ Building,145,404,1,1,1,1,1,40,4,3,3,,,
  └─ Plant Machinery,36,109,1,1,2,2,2,2,2,3,3,,,
  └─ Equipments,47,48,0,0,0,0,0,1,1,1,1,,,
  └─ Computers,4,11,0,0,0,0,0,0,0,0,0,,,
  └─ Furniture n fittings,14,26,1,1,1,1,1,1,1,1,1,,,
  └─ Vehicles,12,15,8,7,7,7,7,7,7,7,6,,,
  └─ Intangible Assets,46,46,46,69,69,69,0,0,0,0,0,1275,1299,
  └─ Other fixed assets,0,0,450,551,554,598,1004,1050,1131,1317,1246,,,
  └─ Gross Block,305,659,508,631,635,678,1015,1100,1145,1331,1260,,,
  └─ Accumulated Depreciation,142,143,29,57,87,114,155,201,226,303,363,,,
CWIP,848,625,678,647,747,814,915,927,835,902,792,20,20,
Investments,15,15,79,15,15,303,344,390,390,175,388,13,13,
Other Assets,7106,6139,6232,6720,7081,8007,5971,5642,4781,4278,3870,3659,3632,
  └─ Inventories,3475,2670,2977,3327,3689,5296,4602,4329,3659,3358,3069,2853,2823,
  └─ Trade receivables,655,662,659,630,635,291,279,331,288,260,203,184,196,
    └─ Receivables over 6m,377,367,0,0,0,0,0,186,175,166,181,,,419
    └─ Receivables under 6m,279,295,659,630,635,291,279,146,113,100,37,,,297
    └─ Prov for Doubtful,0,0,0,0,0,0,0,0,0,-6,-15,,,0
  └─ Cash Equivalents,260,298,173,68,65,91,63,102,81,93,88,34,27,
  └─ Loans n Advances,76,85,92,113,146,144,132,98,70,58,68,223,232,
  └─ Other asset items,2639,2423,2331,2582,2546,2185,895,781,683,509,442,365,354,
Total Assets,8132,7294,7469,7956,8390,9688,8089,7859,6925,6383,5948,5400,5377,
