Metric,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Jun 2014
Equity Capital,15,15,15,15,15,15,15,15,15,15,15,15,
Reserves,78,113,210,349,582,858,954,1252,1649,2084,2619,3571,
Borrowings,2,2,1,1,36,113,235,219,222,219,222,5,
  └─ Long term Borrowings,0.88,0.73,0.48,0.32,0.29,0.02,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Short term Borrowings,0.05,0.00,0.00,0.00,0.00,0.00,17.07,0.50,3.41,0.28,0.55,0.57,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,2.13,1.32,1.63,2.07,1.69,4.47,4.04,
  └─ Preference Capital,0.00,0.00,0.00,0.00,35.92,74.58,216.57,216.57,216.57,216.57,216.60,0.00,
  └─ Other Borrowings,1.15,1.27,0.25,0.21,0.25,36.46,0.00,0.00,0.00,0.00,0.00,,
Other Liabilities,134,137,133,136,109,139,159,250,305,380,352,454,
  └─ Non controlling int,0,0,0,0,0,9,18,26,27,31,36,44,
  └─ Trade Payables,42,56,79,94,60,64,88,156,153,230,218,296,
  └─ Advance from Customers,66,57,19,0,0,0,0,5,23,31,12,,
  └─ Other liability items,26,24,35,41,49,66,53,63,104,89,87,114,
Total Liabilities,229,267,358,500,743,1126,1364,1736,2191,2698,3208,4045,
Fixed Assets,113,144,152,169,227,272,305,287,280,453,546,605,
  └─ Land,9,9,9,12,12,15,33,34,38,38,57,,
  └─ Building,48,59,60,68,82,99,108,107,114,145,164,,
  └─ Plant Machinery,49,68,78,94,94,106,130,142,152,276,359,,
  └─ Equipments,12,15,21,29,40,63,74,79,84,112,130,,
  └─ Computers,2,2,3,4,4,8,9,10,11,13,16,,
  └─ Furniture n fittings,13,16,17,18,31,45,46,46,47,78,84,,
  └─ Vehicles,4,4,4,4,5,9,9,10,13,15,18,,
  └─ Intangible Assets,6,6,0,0,0,0,0,0,3,3,3,54,
  └─ Other fixed assets,1,1,2,3,3,10,13,15,19,23,28,,
  └─ Gross Block,143,181,195,232,272,355,423,444,480,702,860,,
  └─ Accumulated Depreciation,30,37,43,62,45,82,117,157,201,250,314,,
CWIP,31,0,3,15,10,20,14,18,221,117,144,209,
Investments,0,0,17,47,70,61,11,89,281,376,590,859,
Other Assets,85,122,186,269,436,772,1033,1343,1410,1753,1928,2373,
  └─ Inventories,14,19,22,28,37,238,179,227,288,363,336,429,
  └─ Trade receivables,6,8,33,126,160,229,279,317,394,543,632,826,
    └─ Receivables over 6m,0,0,0,0,0,0,0,0,4,83,149,,0
    └─ Receivables under 6m,6,8,33,126,160,229,279,317,390,460,483,,0
  └─ Cash Equivalents,45,68,93,79,153,223,438,463,493,553,591,621,
  └─ Loans n Advances,0,0,0,0,0,40,0,0,2,2,14,28,
  └─ Other asset items,20,27,37,35,86,41,136,336,232,293,355,469,
Total Assets,229,267,358,500,743,1126,1364,1736,2191,2698,3208,4045,
