Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.01,0.01,0.20,2.00,8.57,8.57,8.57
Reserves,3.42,4.07,4.98,5.53,13.36,14.64,15.77
Borrowings,19.90,19.53,17.71,16.54,14.29,16.92,18.31
  └─ Long term Borrowings,6.93,13.94,13.68,11.64,11.19,8.74,14.54
  └─ Short term Borrowings,12.97,5.58,4.04,4.90,3.09,8.18,3.77
  └─ Other Borrowings,0.00,0.01,-0.01,0.00,0.01,0.00,
Other Liabilities,3.78,3.99,4.32,4.04,2.90,3.65,8.09
  └─ Non controlling int,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01
  └─ Trade Payables,1.24,0.83,0.36,1.16,0.99,0.11,0.46
  └─ Other liability items,2.55,3.17,3.97,2.89,1.92,3.55,7.62
Total Liabilities,27.11,27.60,27.21,28.11,39.12,43.78,50.74
Fixed Assets,13.20,12.51,12.25,0.34,2.35,6.16,5.36
  └─ Equipments,0.42,0.42,0.45,0.50,0.65,0.71,
  └─ Computers,1.84,1.84,1.84,1.86,2.26,2.48,
  └─ Furniture n fittings,1.59,1.60,1.60,1.09,1.09,1.09,
  └─ Vehicles,0.74,0.77,0.69,0.69,0.68,0.68,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,1.76,6.14,5.07
  └─ Other fixed assets,12.29,11.85,11.86,0.53,0.53,0.54,
  └─ Gross Block,16.88,16.48,16.44,4.67,6.97,11.64,
  └─ Accumulated Depreciation,3.68,3.98,4.19,4.33,4.62,5.47,
CWIP,0.00,0.00,0.00,0.00,0.95,0.00,0.00
Investments,0.04,0.03,0.03,10.15,10.15,12.04,12.04
Other Assets,13.87,15.06,14.93,17.62,25.67,25.58,33.34
  └─ Inventories,0.00,0.00,0.02,0.00,0.00,0.00,0.08
  └─ Trade receivables,4.63,4.48,4.31,4.58,9.02,10.43,17.77
  └─ Cash Equivalents,1.46,2.20,2.35,3.60,3.83,3.16,4.73
  └─ Loans n Advances,2.79,5.55,4.97,5.90,6.57,2.55,9.15
  └─ Other asset items,4.99,2.83,3.28,3.54,6.25,9.44,1.61
Total Assets,27.11,27.60,27.21,28.11,39.12,43.78,50.74
