Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,17,17,17,17,17,17,17,17
Reserves,552,493,536,602,1004,1035,1049,1114,1220,1477,1816,2382
Borrowings,765,601,356,489,532,539,458,560,766,889,993,1001
  └─ Long term Borrowings,40,12,41,25,17,17,87,87,168,133,118,93
  └─ Short term Borrowings,681,562,293,422,504,444,322,428,556,729,846,871
  └─ Lease Liabilities,0,0,0,0,0,65,48,45,41,27,28,38
  └─ Other Borrowings,44,27,22,42,11,13,0,-0,-0,0,0,0
Other Liabilities,862,1336,973,1282,1044,1533,1669,1925,3013,3534,3026,3686
  └─ Non controlling int,0,0,1,1,2,3,3,4,4,4,0,0
  └─ Trade Payables,417,754,614,620,559,657,727,937,1334,1433,2045,2190
  └─ Advance from Customers,355,465,149,344,241,499,563,578,1066,1178,637,1015
  └─ Other liability items,89,117,209,317,242,374,376,406,609,919,343,481
Total Liabilities,2195,2445,1881,2388,2597,3125,3192,3616,5017,5917,5852,7086
Fixed Assets,335,349,385,462,529,624,601,655,847,1081,1077,1168
  └─ Land,0,5,6,6,6,15,22,9,12,13,19,14
  └─ Building,16,15,19,25,28,70,70,116,112,120,112,85
  └─ Plant Machinery,462,487,390,504,631,758,813,900,1168,1554,1627,1783
  └─ Equipments,87,93,2,3,3,3,4,4,4,5,5,3
  └─ Computers,0,0,2,4,9,10,11,12,15,15,19,22
  └─ Furniture n fittings,0,0,0,0,1,1,1,1,1,1,3,2
  └─ Vehicles,6,6,3,4,4,3,4,6,8,8,8,7
  └─ Other fixed assets,0,-0,0,0,8,10,10,10,10,10,17,17
  └─ Gross Block,570,607,422,545,690,869,934,1058,1331,1727,1810,1934
  └─ Accumulated Depreciation,235,258,36,84,160,245,333,404,483,646,733,766
CWIP,3,3,6,38,7,5,53,2,117,10,21,22
Investments,0,0,1,1,1,255,194,113,45,5,0,0
Other Assets,1856,2093,1489,1887,2060,2241,2344,2847,4007,4821,4753,5897
  └─ Inventories,1131,1175,111,157,246,289,337,400,577,684,644,751
  └─ Trade receivables,413,309,215,240,436,585,531,622,1080,1211,990,1295
    └─ Receivables over 6m,274,236,0,0,0,0,95,128,170,161,120,129
    └─ Receivables under 6m,167,116,276,288,478,618,476,538,957,1108,929,1231
    └─ Prov for Doubtful,-29,-42,-62,-48,-41,-32,-41,-43,-46,-58,-60,-66
  └─ Cash Equivalents,27,148,165,116,109,281,207,491,630,896,825,949
  └─ Loans n Advances,27,44,46,35,363,59,63,72,182,119,106,158
  └─ Other asset items,258,417,953,1338,905,1026,1205,1262,1538,1911,2189,2745
Total Assets,2195,2445,1881,2388,2597,3125,3192,3616,5017,5917,5852,7086
