Metric,Sep 2005,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,4,20,22,23,27
Reserves,-30,-11,17,80,122
Borrowings,205,76,58,61,71
  └─ Long term Borrowings,,22.87,29.09,43.71,47.34
  └─ Short term Borrowings,,29.89,4.21,16.64,23.24
  └─ Preference Capital,0.00,19.64,20.48,0.00,0.00
  └─ Other Borrowings,205.13,3.77,4.14,1.08,
Other Liabilities,180,72,79,72,74
  └─ Non controlling int,1.84,0.20,4.45,14.26,14.09
  └─ Trade Payables,114.91,42.54,42.16,42.66,42.86
  └─ Advance from Customers,12.89,6.66,17.40,6.68,
  └─ Other liability items,50.83,22.27,14.71,8.52,16.76
Total Liabilities,360,157,176,237,293
Fixed Assets,131,65,64,58,103
  └─ Land,3.85,21.59,19.74,11.19,
  └─ Building,43.61,30.99,31.16,31.32,
  └─ Plant Machinery,201.06,158.46,162.93,166.50,
  └─ Equipments,83.40,0.17,0.18,0.87,
  └─ Computers,0.00,6.07,6.41,6.76,
  └─ Furniture n fittings,10.97,6.48,7.01,7.51,
  └─ Vehicles,4.15,1.11,1.11,1.23,
  └─ Intangible Assets,13.93,6.43,6.44,6.71,38.02
  └─ Other fixed assets,0.00,19.51,21.11,24.75,
  └─ Gross Block,360.97,250.81,256.09,256.84,
  └─ Accumulated Depreciation,230.00,185.97,192.42,198.52,
CWIP,0,2,5,36,22
Investments,8,5,9,4,4
Other Assets,220,86,99,139,165
  └─ Inventories,72,44,51,54,69
  └─ Trade receivables,69,29,32,38,35
    └─ Receivables over 6m,55.75,2.77,2.46,2.75,
    └─ Receivables under 6m,27.72,26.57,29.08,34.85,
    └─ Prov for Doubtful,-14.87,0.00,0.00,0.00,
  └─ Cash Equivalents,1,3,10,38,40
  └─ Loans n Advances,46,5,2,3,4
  └─ Other asset items,34,5,4,7,17
Total Assets,360,157,176,237,293
