Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,17,17,17,17,17,17,17,17,17,17,17,17,17
Reserves,224,222,250,383,417,481,542,599,655,699,798,882,895
Borrowings,298,419,408,409,419,466,613,508,566,510,529,534,302
  └─ Long term Borrowings,81,81,72,25,32,83,178,115,132,73,36,44,53
  └─ Short term Borrowings,179,304,277,355,361,348,352,371,416,422,477,477,249
  └─ Lease Liabilities,0,0,0,0,0,0,26,22,18,15,17,12,0
  └─ Other Borrowings,38,34,59,28,26,35,58,0,0,-0,0,-0,
Other Liabilities,419,345,397,349,267,380,436,556,541,724,855,878,736
  └─ Trade Payables,320,247,275,254,198,304,274,342,266,275,317,296,154
  └─ Advance from Customers,3,2,1,2,2,1,3,21,5,5,4,2,
  └─ Other liability items,96,97,121,92,67,74,159,193,270,444,534,579,582
Total Liabilities,959,1004,1073,1157,1121,1344,1609,1681,1779,1951,2199,2311,1950
Fixed Assets,293,319,321,329,330,390,456,495,584,632,627,662,621
  └─ Land,12.91,12.90,12.54,12.54,12.54,12.54,12.54,12.54,32.89,35.78,35.78,35.78,
  └─ Building,75.01,80.72,83.12,40.13,43.59,46.17,78.10,76.64,73.00,66.72,69.44,90.42,
  └─ Plant Machinery,532.04,574.15,588.18,283.37,297.37,371.00,421.17,476.02,560.50,624.96,644.97,690.11,
  └─ Equipments,6.12,7.75,7.54,3.34,3.91,4.39,5.47,7.06,13.75,15.67,16.20,16.84,
  └─ Furniture n fittings,5.85,6.08,5.97,0.94,1.21,1.53,2.33,2.70,2.67,2.73,2.85,3.03,
  └─ Vehicles,7.07,7.88,8.81,6.53,8.05,8.45,9.25,9.41,10.78,12.87,13.71,16.23,
  └─ Intangible Assets,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,1.44
  └─ Other fixed assets,-0.01,0.01,1.54,1.35,1.64,1.88,2.53,2.79,5.47,18.60,20.34,16.27,
  └─ Gross Block,638.99,689.49,707.70,348.20,368.31,445.96,531.39,587.16,699.06,777.33,803.29,868.68,
  └─ Accumulated Depreciation,345.89,370.61,386.83,18.90,37.90,56.27,75.34,91.98,115.02,145.61,176.53,206.68,
CWIP,18,9,8,3,18,23,34,24,33,2,7,3,37
Investments,29,21,18,35,23,40,27,61,25,45,51,47,65
Other Assets,618,655,726,790,749,892,1092,1101,1137,1272,1514,1599,1228
  └─ Inventories,414,427,510,555,496,616,663,660,633,635,740,788,430
  └─ Trade receivables,112,96,114,148,165,191,185,197,255,242,276,240,191
  └─ Cash Equivalents,9,9,12,14,19,20,57,44,27,25,31,72,63
  └─ Loans n Advances,6,0,0,3,3,4,3,8,9,4,4,6,8
  └─ Other asset items,76,122,89,70,66,61,184,192,214,366,464,493,537
Total Assets,959,1004,1073,1157,1121,1344,1609,1681,1779,1951,2199,2311,1950
