Metric,Mar 2024,Mar 2025,Mar 2026
Equity Capital,11,12,12
Reserves,16,54,72
Borrowings,51,60,41
  └─ Long term Borrowings,12.23,2.28,0.36
  └─ Short term Borrowings,38.62,57.41,40.54
  └─ Other Borrowings,-0.01,0.00,
Other Liabilities,73,61,78
  └─ Trade Payables,27.60,22.64,31.48
  └─ Advance from Customers,2.16,0.77,
  └─ Other liability items,43.03,37.42,46.44
Total Liabilities,151,186,203
Fixed Assets,9,9,19
  └─ Building,5.99,5.99,
  └─ Plant Machinery,0.07,0.07,
  └─ Equipments,0.47,0.58,
  └─ Computers,0.37,0.44,
  └─ Furniture n fittings,5.25,6.82,
  └─ Vehicles,0.73,0.76,
  └─ Intangible Assets,0.33,0.33,0.67
  └─ Other fixed assets,0.71,0.75,
  └─ Gross Block,13.92,15.74,
  └─ Accumulated Depreciation,5.08,6.60,
CWIP,0,0,0
Investments,0,0,110
Other Assets,142,177,73
  └─ Inventories,93.75,90.42,0.00
  └─ Trade receivables,9.87,8.05,14.78
    └─ Receivables over 6m,1.86,4.27,
    └─ Receivables under 6m,8.01,3.78,
  └─ Cash Equivalents,5.69,6.89,7.84
  └─ Loans n Advances,0.74,0.45,35.45
  └─ Other asset items,31.80,71.41,15.34
Total Assets,151,186,203
