Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,0.15,0.90,0.90,0.90,2.52,2.93,2.93,2.93,2.93
Reserves,1.25,0.77,1.11,1.30,1.25,9.62,12.60,14.31,17.38
Borrowings,4.50,6.94,6.99,7.37,9.71,6.80,8.61,6.11,5.22
  └─ Long term Borrowings,3.01,0.00,6.14,7.18,6.83,6.31,6.37,5.05,4.41
  └─ Short term Borrowings,1.49,0.00,0.85,0.19,2.88,0.48,2.23,1.06,0.81
  └─ Other Borrowings,0.00,6.94,0.00,0.00,0.00,0.01,0.01,0.00,
Other Liabilities,6.75,7.64,8.33,7.43,14.69,14.97,16.92,20.35,25.31
  └─ Trade Payables,5.69,4.91,6.27,6.13,13.66,13.60,15.04,18.23,21.78
  └─ Advance from Customers,0.00,0.00,0.00,0.31,0.24,0.30,0.28,0.64,
  └─ Other liability items,1.06,2.73,2.06,0.99,0.79,1.07,1.60,1.48,3.53
Total Liabilities,12.65,16.25,17.33,17.00,28.17,34.32,41.06,43.70,50.84
Fixed Assets,0.55,0.43,0.30,0.19,0.68,0.43,0.36,0.38,1.41
  └─ Building,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,
  └─ Plant Machinery,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,
  └─ Ships Vessels,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,
  └─ Computers,0.12,0.13,0.04,0.06,0.07,0.10,0.84,0.88,
  └─ Furniture n fittings,0.09,0.09,0.00,0.01,0.01,0.02,0.04,0.12,
  └─ Vehicles,0.13,0.13,0.00,0.01,0.01,0.00,0.16,0.16,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.91
  └─ Other fixed assets,0.72,0.72,0.12,0.72,0.73,0.73,0.01,-0.01,
  └─ Gross Block,1.24,1.25,0.35,0.97,1.00,1.03,1.23,1.33,
  └─ Accumulated Depreciation,0.68,0.82,0.05,0.77,0.32,0.59,0.87,0.95,
CWIP,0.00,0.00,0.53,0.73,0.00,0.00,0.00,0.00,0.00
Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.75
Other Assets,12.10,15.82,16.50,16.08,27.49,33.89,40.70,42.42,48.68
  └─ Trade receivables,4.56,7.36,6.13,5.44,9.46,13.65,24.42,26.75,34.52
    └─ Receivables over 6m,0.00,0.00,0.00,2.13,1.98,2.63,3.49,5.13,
    └─ Receivables under 6m,4.78,7.36,6.13,3.71,8.18,12.08,21.69,22.27,
    └─ Prov for Doubtful,-0.22,0.00,0.00,-0.40,-0.70,-1.06,-0.76,-0.65,
  └─ Cash Equivalents,1.45,1.10,1.70,1.73,5.40,7.60,4.18,4.24,3.50
  └─ Loans n Advances,0.91,2.13,3.17,2.49,2.63,1.57,1.61,1.78,8.68
  └─ Other asset items,5.18,5.23,5.50,6.42,10.00,11.07,10.49,9.65,1.98
Total Assets,12.65,16.25,17.33,17.00,28.17,34.32,41.06,43.70,50.84
