Metric,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Sep 2015
Equity Capital,23,23,23,23,23,23,23,23,23,23,23,23,
Reserves,-6,-7,-1,11,33,43,53,66,82,101,105,106,
Borrowings,66,85,57,50,82,121,90,81,63,57,53,73,
  └─ Long term Borrowings,,3,2,8,34,29,0,19,19,0,0,0,4
  └─ Short term Borrowings,,80,52,38,34,69,0,36,19,33,38,59,72
  └─ Lease Liabilities,,0,0,0,0,8,0,27,25,24,15,14,0
  └─ Other Borrowings,,2,3,4,14,15,90,0,0,0,0,0,
Other Liabilities,63,55,52,78,99,93,72,93,95,102,107,146,
  └─ Trade Payables,,31,24,33,36,38,35,53,45,35,47,41,32
  └─ Advance from Customers,,3,4,9,9,0,0,0,0,0,5,7,
  └─ Other liability items,,21,24,37,54,55,38,39,50,66,55,97,27
Total Liabilities,146,156,131,162,237,280,238,263,262,282,287,347,
Fixed Assets,35,28,36,51,87,117,108,110,95,87,78,77,
  └─ Land,,0,0,0,0,0,0,0,0,0,0,0,
  └─ Building,,1,1,1,1,9,9,18,20,24,24,26,
  └─ Plant Machinery,,26,35,47,51,74,77,88,104,114,118,124,
  └─ Equipments,,2,2,3,4,8,26,27,24,22,11,11,
  └─ Furniture n fittings,,1,2,2,2,2,2,2,2,1,2,2,
  └─ Vehicles,,0,0,1,1,1,1,1,2,2,2,2,
  └─ Intangible Assets,,0,0,0,0,0,0,0,0,0,0,0,0
  └─ Other fixed assets,,7,14,25,68,83,72,74,42,29,37,34,
  └─ Gross Block,,39,55,79,127,177,188,210,194,193,194,199,
  └─ Accumulated Depreciation,,11,19,28,40,60,80,100,98,105,116,123,
CWIP,3,6,3,5,17,3,4,3,1,10,9,41,
Investments,8,9,5,6,0,0,0,0,0,4,4,4,
Other Assets,99,113,87,101,134,160,126,150,165,181,197,225,
  └─ Inventories,,8,9,9,8,11,11,16,21,26,31,36,12
  └─ Trade receivables,,43,34,55,60,70,63,78,83,85,107,104,44
    └─ Receivables over 6m,9,0,0,0,0,0,0,0,8,6,23,24,
    └─ Receivables under 6m,33,46,36,57,62,72,67,81,79,82,87,85,
    └─ Prov for Doubtful,-4,-3,-3,-2,-2,-2,-3,-3,-3,-3,-3,-6,
  └─ Cash Equivalents,,5,4,4,6,13,10,16,17,22,15,20,3
  └─ Loans n Advances,,14,2,2,1,1,1,2,8,2,3,4,35
  └─ Other asset items,,43,39,31,59,64,41,39,37,45,42,61,10
Total Assets,146,156,131,162,237,280,238,263,262,282,287,347,
