Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,40,40,40,40,40,40,41,41
Reserves,626,714,628,748,817,886,958,1037
Borrowings,20,14,6,12,8,21,69,87
  └─ Lease Liabilities,20,14,6,12,8,21,69,87
Other Liabilities,184,172,189,188,239,238,239,309
  └─ Non controlling int,-0,-0,-0,-0,-0,-0,0,0
  └─ Trade Payables,90,89,99,96,132,120,103,136
  └─ Advance from Customers,0,10,17,0,0,0,0,
  └─ Other liability items,94,74,73,93,107,119,136,173
Total Liabilities,870,940,863,988,1104,1185,1307,1474
Fixed Assets,157,64,57,65,63,86,153,184
  └─ Land,15.74,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Building,94.22,52.92,52.92,69.41,65.58,53.64,53.66,
  └─ Equipments,26.95,8.83,8.94,9.66,10.15,10.60,12.98,
  └─ Computers,133.60,140.95,152.66,165.61,181.65,210.54,245.20,
  └─ Furniture n fittings,25.32,11.64,12.01,12.13,12.18,12.59,14.31,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.25
  └─ Other fixed assets,29.10,14.61,6.10,-0.01,-0.01,28.10,76.39,
  └─ Gross Block,324.93,228.95,232.63,256.80,269.55,315.47,402.54,
  └─ Accumulated Depreciation,168.40,165.39,175.82,192.26,206.24,229.46,249.64,
CWIP,5,5,1,4,11,13,11,2
Investments,373,406,285,364,529,550,661,638
Other Assets,335,465,519,555,501,536,482,650
  └─ Trade receivables,182,211,198,200,209,189,144,205
    └─ Receivables over 6m,0,0,0,160,168,136,46,
    └─ Receivables under 6m,183,221,238,111,118,121,133,
    └─ Prov for Doubtful,-1,-11,-40,-70,-77,-68,-35,
  └─ Cash Equivalents,55,50,115,234,138,151,136,187
  └─ Loans n Advances,15,26,20,23,24,29,14,111
  └─ Other asset items,83,178,186,99,130,167,188,147
Total Assets,870,940,863,988,1104,1185,1307,1474
