Metric,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016
Equity Capital,161,161,161,161,161,81,87,92,92,104,104
Reserves,-62,-39,-3,-42,-86,-37,-57,-125,-128,-166,-198
Borrowings,159,188,126,124,96,125,131,98,41,41,38
  └─ Long term Borrowings,,,,,,,29.54,0.00,0.00,13.69,6.84
  └─ Short term Borrowings,,,,,,,92.61,71.71,18.78,2.39,2.81
  └─ Other Borrowings,159.30,187.70,126.34,123.83,96.30,124.81,8.75,26.71,22.32,24.76,28.23
Other Liabilities,218,222,184,172,244,252,188,200,183,91,107
  └─ Trade Payables,167,167,147,130,158,166,87,80,49,25,25
  └─ Advance from Customers,3,14,10,17,52,0,16,3,5,0,0
  └─ Other liability items,48,41,27,25,35,86,85,117,129,66,82
Total Liabilities,477,532,469,415,416,420,349,266,189,70,52
Fixed Assets,199,186,164,154,139,128,109,118,39,29,27
  └─ Land,13,20,14,11,7,7,7,7,7,7,7
  └─ Building,92,92,92,93,94,93,92,92,42,42,42
  └─ Plant Machinery,362,363,366,357,356,356,349,325,178,177,177
  └─ Equipments,0,0,0,0,0,0,10,8,4,4,3
  └─ Furniture n fittings,6,6,7,7,7,7,5,5,3,3,3
  └─ Railway sidings,0,0,0,0,0,0,0,0,0,0,0
  └─ Vehicles,7,7,8,7,9,9,9,7,4,2,1
  └─ Intangible Assets,0,0,0,6,7,8,8,18,0,2,2
  └─ Other fixed assets,0,0,0,0,0,1,2,4,4,2,2
  └─ Gross Block,480,488,486,481,480,481,482,466,242,239,237
  └─ Accumulated Depreciation,280,302,322,327,341,353,373,348,203,210,210
CWIP,0,2,6,4,4,2,19,1,0,0,0
Investments,78,89,96,95,102,101,80,16,0,0,0
Other Assets,200,255,202,163,171,190,141,131,150,41,24
  └─ Inventories,86.27,103.16,82.05,74.93,73.62,99.39,61.85,81.37,15.18,10.54,7.00
  └─ Trade receivables,51.22,38.30,46.23,16.46,12.57,17.19,19.74,20.65,18.11,1.30,1.12
    └─ Receivables over 6m,11.65,11.70,2.66,2.70,2.14,2.84,3.19,4.43,0.83,1.48,1.43
    └─ Receivables under 6m,45.95,33.03,44.94,15.21,11.95,16.38,19.11,19.24,17.46,0.03,0.11
    └─ Prov for Doubtful,-6.38,-6.43,-1.37,-1.45,-1.52,-2.03,-2.56,-3.02,-0.19,-0.21,-0.42
  └─ Cash Equivalents,9.64,63.69,14.48,11.02,42.13,31.42,36.96,8.03,0.89,0.24,0.05
  └─ Loans n Advances,-1.85,2.17,-2.91,-4.51,-7.21,0.23,0.98,0.30,-0.15,-0.42,-0.36
  └─ Other asset items,54.39,48.14,62.44,64.64,49.83,41.43,21.79,20.20,115.68,29.31,16.39
Total Assets,477,532,469,415,416,420,349,266,189,70,52
