Metric,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,81,81,90,90
Reserves,673,711,847,883
Borrowing,1447,1360,1272,920
Other Liabilities,43,34,35,55
  └─ Trade Payables,0,0,0,0
  └─ Other liability items,43,34,35,55
Total Liabilities,2244,2185,2245,1949
Fixed Assets,18,16,17,16
  └─ Building,14.57,14.57,14.57,
  └─ Equipments,0.37,0.37,0.38,
  └─ Computers,0.27,0.40,1.77,
  └─ Furniture n fittings,0.59,0.59,0.68,
  └─ Vehicles,0.15,0.15,0.15,
  └─ Intangible Assets,0.00,0.00,0.00,0.46
  └─ Other fixed assets,3.18,3.19,3.59,
  └─ Gross Block,19.13,19.27,21.14,
  └─ Accumulated Depreciation,1.62,2.77,4.24,
CWIP,0,0,0,0
Investments,218,159,165,361
Other Assets,2008,2010,2062,1572
  └─ Trade receivables,0,0,0,1
  └─ Cash Equivalents,191,18,211,92
  └─ Loans n Advances,21,20,18,1432
  └─ Other asset items,1796,1971,1833,47
Total Assets,2244,2185,2245,1949
