Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,199,199,249,224,224,202,202,202,202,202,202,202
Reserves,2554,2442,2730,2610,2993,2858,3230,3656,4558,6042,7738,9553
Borrowings,83,-0,-0,-0,-0,-0,30,12,6,1,20,447
  └─ Long term Borrowings,79,,,0,0,0,0,0,0,0,0,72
  └─ Short term Borrowings,0,,,0,0,0,0,0,0,0,0,368
  └─ Lease Liabilities,0,0,0,0,0,0,30,12,6,1,20,7
  └─ Other Borrowings,4,0,0,0,0,0,0,0,0,0,0,
Other Liabilities,28397,16386,16366,16540,17633,17883,21679,25904,24709,23219,20844,17255
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,0,229
  └─ Trade Payables,712,1093,898,2391,2917,4728,6362,6166,4463,4466,3738,4513
  └─ Advance from Customers,27021,1307,2268,0,0,0,0,0,0,0,0,
  └─ Other liability items,664,13986,13200,14149,14716,13155,15317,19738,20247,18753,17106,12514
Total Liabilities,31233,19028,19345,19374,20850,20943,25140,29773,29476,29463,28804,27458
Fixed Assets,266,368,546,705,810,836,807,965,1024,838,1466,2069
  └─ Land,0.00,28.67,28.67,134.15,184.15,194.91,194.91,391.35,391.35,187.09,842.09,
  └─ Building,0.00,155.76,278.77,249.67,268.80,288.68,315.41,322.45,418.61,444.70,465.72,
  └─ Plant Machinery,0.00,271.47,301.42,274.46,293.27,322.63,323.24,333.75,344.88,359.93,382.47,
  └─ Ships Vessels,0.00,8.97,19.15,15.79,60.79,60.79,60.60,60.60,60.83,60.83,80.10,
  └─ Equipments,0.00,34.85,44.15,24.43,26.47,43.23,45.97,48.40,50.63,59.02,58.54,
  └─ Computers,0.00,18.72,19.32,5.54,6.23,7.16,7.82,7.04,8.46,11.38,10.98,
  └─ Furniture n fittings,0.00,31.60,46.43,37.67,43.16,48.51,53.32,55.99,58.64,67.83,71.07,
  └─ Vehicles,0.00,20.16,20.67,19.24,19.49,23.91,24.55,24.60,27.05,27.62,27.55,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.42
  └─ Other fixed assets,265.81,67.51,85.96,89.60,104.25,99.87,102.76,107.57,121.31,124.49,152.49,
  └─ Gross Block,265.81,637.71,844.54,850.55,1006.61,1089.69,1128.58,1351.75,1481.76,1342.89,2091.01,
  └─ Accumulated Depreciation,0.00,269.95,298.27,145.22,196.30,253.34,321.73,387.13,457.43,504.95,625.29,
CWIP,40,170,98,85,89,80,80,87,62,72,133,245
Investments,299,324,376,429,431,484,519,542,589,679,765,915
Other Assets,30629,18166,18324,18154,19520,19542,23735,28179,27801,27875,26440,24229
  └─ Inventories,18542,4247,4032,3789,3792,4625,5891,7703,7369,5728,4634,2617
  └─ Trade receivables,749,920,746,1113,1473,1433,966,1005,1002,1847,1067,2606
    └─ Receivables over 6m,698,0,0,0,0,0,0,0,233,230,273,
    └─ Receivables under 6m,51,1110,932,1281,1661,1599,1557,1805,769,1617,794,
    └─ Prov for Doubtful,0,-191,-186,-168,-188,-166,-592,-799,0,0,0,
  └─ Cash Equivalents,7618,8803,8363,7190,7470,5798,8028,11480,13286,14210,16150,13096
  └─ Loans n Advances,2899,2208,2933,4092,4198,5972,6838,5790,3934,3653,2068,239
  └─ Other asset items,820,1989,2250,1970,2587,1715,2012,2200,2209,2437,2522,5670
Total Assets,31233,19028,19345,19374,20850,20943,25140,29773,29476,29463,28804,27458
