Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,148,148,148,148,153,154,163,164,165
Reserves,526,598,702,836,1103,1408,1784,2102,2268
Borrowings,0,0,0,0,0,0,0,0,221
  └─ Lease Liabilities,0,0,0,0,0,0,0,0,221
Other Liabilities,228,347,482,627,600,539,712,853,584
  └─ Trade Payables,64,76,171,306,246,225,403,350,312
  └─ Other liability items,164,271,311,321,354,314,309,503,272
Total Liabilities,902,1093,1333,1612,1856,2101,2659,3120,3238
Fixed Assets,264,381,426,533,750,869,836,857,1155
  └─ Land,0,0,0,159,236,275,281,315,
  └─ Building,8,12,13,15,16,20,25,34,
  └─ Plant Machinery,0,53,67,141,280,389,425,534,
  └─ Equipments,48,8,9,8,8,9,9,10,
  └─ Computers,31,41,36,38,41,44,42,47,
  └─ Furniture n fittings,20,25,31,39,53,60,59,60,
  └─ Vehicles,163,166,205,205,245,295,319,291,
  └─ Intangible Assets,185,203,203,203,206,206,206,206,237
  └─ Other fixed assets,31,136,156,60,67,70,72,75,
  └─ Gross Block,485,645,720,869,1152,1367,1438,1573,
  └─ Accumulated Depreciation,221,264,294,336,401,498,602,715,
CWIP,1,3,4,23,44,20,18,164,113
Investments,92,12,57,112,124,279,485,616,374
Other Assets,545,697,846,943,938,932,1319,1482,1596
  └─ Inventories,24,42,43,89,63,74,127,80,69
  └─ Trade receivables,195,250,334,501,499,526,720,815,892
    └─ Receivables over 6m,0,250,334,299,0,0,143,110,
    └─ Receivables under 6m,234,0,0,260,499,526,709,781,
    └─ Prov for Doubtful,-39,0,0,-59,0,0,-132,-77,
  └─ Cash Equivalents,75,139,191,195,142,156,267,296,155
  └─ Loans n Advances,4,9,24,19,23,15,18,24,178
  └─ Other asset items,248,257,254,140,211,160,188,268,302
Total Assets,902,1093,1333,1612,1856,2101,2659,3120,3238
