Metric,Mar 2015
Equity Capital,122
Reserves,187
Borrowings,1202
  └─ Long term Borrowings,778
  └─ Short term Borrowings,424
  └─ Other Borrowings,0
Other Liabilities,447
  └─ Trade Payables,381
  └─ Advance from Customers,27
  └─ Other liability items,40
Total Liabilities,1958
Fixed Assets,776
  └─ Land,6
  └─ Building,196
  └─ Plant Machinery,799
  └─ Equipments,1
  └─ Computers,1
  └─ Furniture n fittings,2
  └─ Vehicles,2
  └─ Intangible Assets,0
  └─ Other fixed assets,0
  └─ Gross Block,1007
  └─ Accumulated Depreciation,231
CWIP,1
Investments,0
Other Assets,1181
  └─ Inventories,653
  └─ Trade receivables,331
    └─ Receivables over 6m,120
    └─ Receivables under 6m,211
  └─ Cash Equivalents,25
  └─ Loans n Advances,21
  └─ Other asset items,151
Total Assets,1958
