Metric,Mar 2015,Mar 2016,Sep 2016
Equity Capital,0.24,0.24,0.24
Reserves,0.57,1.09,1.17
Borrowings,0.00,0.00,0.00
Other Liabilities,0.03,0.09,0.19
  └─ Non controlling int,0.00,0.06,0.06
  └─ Other liability items,0.03,0.03,0.13
Total Liabilities,0.84,1.42,1.60
Fixed Assets,0.02,0.02,0.02
  └─ Building,0.08,0.08,
  └─ Gross Block,0.08,0.08,
  └─ Accumulated Depreciation,0.07,0.07,
CWIP,0.00,0.00,0.00
Investments,0.38,0.38,0.35
Other Assets,0.44,1.02,1.23
  └─ Inventories,0.00,0.19,0.61
  └─ Trade receivables,0.00,0.31,0.00
  └─ Cash Equivalents,0.43,0.48,0.60
  └─ Other asset items,0.01,0.04,0.02
Total Assets,0.84,1.42,1.60
