Metric,Mar 2016,Mar 2017,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,3.16,4.21,4.21,4.21,4.21,4.21,14.81,15.51
Reserves,0.30,-0.39,-0.73,-0.19,0.46,19.38,10.20,36.47
Borrowings,2.71,1.16,0.03,0.82,4.44,1.05,8.04,0.76
  └─ Long term Borrowings,1.60,0.91,0.00,0.00,0.00,0.00,0.00,0.33
  └─ Short term Borrowings,1.11,0.25,0.03,0.82,4.44,1.05,8.04,0.43
Other Liabilities,0.66,0.45,0.89,1.15,1.56,6.78,8.68,13.17
  └─ Non controlling int,0.00,0.00,0.00,0.34,0.36,1.41,3.55,3.74
  └─ Trade Payables,0.28,0.44,0.80,0.62,0.48,1.33,4.29,8.67
  └─ Advance from Customers,0.00,0.00,0.00,0.07,0.33,0.00,0.00,
  └─ Other liability items,0.38,0.01,0.09,0.12,0.39,4.04,0.84,0.76
Total Liabilities,6.83,5.43,4.40,5.99,10.67,31.42,41.73,65.91
Fixed Assets,3.80,1.33,0.08,0.05,0.71,6.75,15.15,26.51
  └─ Plant Machinery,4.02,1.31,0.00,0.00,0.00,0.00,0.00,
  └─ Equipments,0.00,0.00,0.00,0.00,0.02,0.03,0.03,
  └─ Computers,0.00,0.00,0.00,0.02,0.02,0.02,0.32,
  └─ Furniture n fittings,0.12,0.12,0.00,0.00,0.68,0.69,0.91,
  └─ Vehicles,0.29,0.29,0.32,0.32,0.32,0.32,0.02,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
  └─ Other fixed assets,0.00,0.00,0.01,0.01,0.00,6.11,14.38,
  └─ Gross Block,4.43,1.72,0.33,0.35,1.04,7.17,15.66,
  └─ Accumulated Depreciation,0.63,0.39,0.26,0.30,0.34,0.42,0.51,
CWIP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.69,0.57,0.00,0.00,0.02,7.14,1.16,8.05
Other Assets,2.34,3.53,4.32,5.94,9.94,17.53,25.42,31.35
  └─ Inventories,0.38,1.74,2.03,3.51,3.69,5.27,12.19,16.12
  └─ Trade receivables,1.28,1.16,0.99,1.01,2.14,2.81,3.10,2.90
    └─ Receivables over 6m,1.28,1.16,0.99,1.01,0.15,0.55,0.55,
    └─ Receivables under 6m,0.00,0.00,0.00,0.00,2.00,2.26,2.55,
  └─ Cash Equivalents,0.26,0.22,0.57,0.63,0.28,1.24,0.53,2.31
  └─ Loans n Advances,0.00,0.00,0.03,0.03,0.04,5.03,0.00,5.79
  └─ Other asset items,0.42,0.41,0.70,0.76,3.79,3.18,9.60,4.23
Total Assets,6.83,5.43,4.40,5.99,10.67,31.42,41.73,65.91
