Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,64,64,64,64,64,64,64,64,64,64,64,64,
Reserves,3180,3633,3937,4288,4254,4032,4003,4758,5722,6036,6348,7009,
Borrowings,679,0,0,0,0,0,1,1,2,3,126,317,
  └─ Long term Borrowings,669,0,0,0,0,0,0,0,0,0,117,279,
  └─ Short term Borrowings,10,0,0,0,0,0,0,0,0,0,6,29,
  └─ Lease Liabilities,0,0,0,0,0,0,1,1,2,3,4,8,
  └─ Other Borrowings,0,0,0,0,0,0,0,0,0,0,0,,
Other Liabilities,1045,1012,1120,1044,894,967,905,1064,1166,1266,1214,1594,
  └─ Trade Payables,53,68,97,110,110,137,176,209,206,286,236,259,
  └─ Advance from Customers,12,24,6,21,12,26,34,34,72,10,15,,
  └─ Other liability items,980,920,1017,912,772,804,695,821,888,970,963,1335,
Total Liabilities,4966,4709,5121,5395,5211,5063,4973,5886,6953,7369,7752,8983,
Fixed Assets,1771,1719,2075,2147,2131,2058,1585,1510,1454,1551,1553,3039,
  └─ Land,162,41,41,46,71,71,80,81,83,86,87,,
  └─ Building,266,136,148,164,166,169,176,176,176,177,199,,
  └─ Plant Machinery,2359,1511,1797,1821,1834,1834,1835,1839,1850,1861,1860,,
  └─ Equipments,6,7,9,9,10,10,10,10,11,14,15,,
  └─ Computers,1,2,3,4,6,6,6,6,6,14,17,,
  └─ Furniture n fittings,19,8,12,12,13,14,14,14,17,20,30,,
  └─ Vehicles,15,8,8,9,10,12,11,11,19,24,30,,
  └─ Intangible Assets,0,0,0,0,0,0,0,0,0,0,0,1525,
  └─ Other fixed assets,8,133,331,472,520,520,520,543,543,682,724,,
  └─ Gross Block,2836,1846,2349,2537,2631,2636,2651,2680,2705,2878,2963,,
  └─ Accumulated Depreciation,1065,127,274,390,500,578,1066,1170,1251,1327,1410,,
CWIP,958,31,21,11,1,4,6,23,28,292,741,215,
Investments,121,644,657,782,429,264,299,596,491,566,484,464,
Other Assets,2117,2314,2368,2456,2651,2737,3083,3756,4979,4960,4974,5265,
  └─ Inventories,59,50,75,77,103,101,104,93,109,108,93,96,
  └─ Trade receivables,81,97,119,111,147,140,145,205,185,101,85,72,
    └─ Receivables over 6m,5,0,0,0,0,0,0,0,85,68,59,,2
    └─ Receivables under 6m,77,98,120,112,148,140,146,206,102,35,29,,50
    └─ Prov for Doubtful,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,,-0
  └─ Cash Equivalents,12,64,51,58,89,97,267,90,98,506,583,540,
  └─ Loans n Advances,41,72,60,40,31,38,27,32,32,60,74,1407,
  └─ Other asset items,1923,2031,2062,2169,2281,2362,2541,3337,4555,4184,4139,3150,
Total Assets,4966,4709,5121,5395,5211,5063,4973,5886,6953,7369,7752,8983,
