Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,14,14,14,14,14,18,18,18
Reserves,25,21,29,50,65,144,165,182
Borrowings,71,70,68,86,52,68,94,74
  └─ Long term Borrowings,23,17,36,37,41,28,17,16
  └─ Short term Borrowings,33,42,24,39,1,40,78,55
  └─ Lease Liabilities,0,0,0,0,0,0,0,2
  └─ Other Borrowings,14,11,9,10,9,0,0,
Other Liabilities,24,41,26,33,23,52,40,82
  └─ Non controlling int,1,-3,-2,0,0,18,17,52
  └─ Trade Payables,16,19,9,18,10,18,14,22
  └─ Other liability items,7,25,20,15,12,16,9,8
Total Liabilities,134,145,137,184,154,282,318,356
Fixed Assets,52,46,36,61,69,98,83,95
  └─ Land,2.03,2.03,2.03,2.03,2.03,4.29,4.29,
  └─ Building,7.90,9.50,7.61,7.58,7.47,10.49,11.16,
  └─ Plant Machinery,63.78,84.90,54.76,48.59,60.30,94.72,93.39,
  └─ Computers,0.08,0.18,0.10,0.11,0.11,0.17,0.20,
  └─ Furniture n fittings,2.39,3.53,2.30,6.24,6.26,6.25,6.55,
  └─ Vehicles,0.19,0.19,0.20,0.20,0.96,0.98,1.26,
  └─ Wind turbines,-0.00,-0.00,-0.00,30.98,28.37,30.74,30.74,
  └─ Other fixed assets,3.61,-0.00,-0.00,0.01,0.01,0.09,0.09,
  └─ Gross Block,79.98,100.33,67.00,95.74,105.51,147.73,147.68,
  └─ Accumulated Depreciation,27.89,54.42,30.81,34.77,36.85,49.35,64.53,
CWIP,0,-0,14,0,-0,0,5,4
Investments,1,1,1,1,1,2,15,38
Other Assets,81,98,85,121,84,181,215,219
  └─ Inventories,30,27,17,29,20,53,68,77
  └─ Trade receivables,32,51,37,56,31,68,63,88
  └─ Cash Equivalents,0,3,4,13,8,4,12,2
  └─ Loans n Advances,0,2,1,2,10,34,43,26
  └─ Other asset items,19,15,26,21,15,22,29,26
Total Assets,134,145,137,184,154,282,318,356
