Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,222,222,222,222,222,222,222,222,326,391,1624,1728,
Reserves,1170,1665,1968,1782,1743,1464,1094,688,1387,2417,3423,4654,
Borrowings,874,1457,1674,1062,1305,1121,1566,2637,2416,2078,1500,1587,
  └─ Long term Borrowings,79,56,186,348,332,119,448,438,888,227,2,275,
  └─ Short term Borrowings,767,1382,1342,483,760,727,1115,1279,1517,1840,1464,1276,
  └─ Lease Liabilities,0,0,0,0,0,0,3,1,11,12,34,35,
  └─ Preference Capital,0,0,0,0,0,0,0,918,0,0,0,0,
  └─ Other Borrowings,28,18,146,231,213,275,0,0,-0,0,0,,
Other Liabilities,930,1434,1291,1032,1471,2485,2582,2417,1912,1867,2246,4099,
  └─ Non controlling int,0,0,0,0,-0,-0,0,41,507,494,559,1310,
  └─ Trade Payables,711,1185,969,536,889,1055,1038,708,617,605,1065,1190,
  └─ Advance from Customers,109,26,16,279,354,1187,1210,993,280,222,302,,
  └─ Other liability items,110,223,306,217,229,243,335,675,508,545,319,1599,
Total Liabilities,3196,4778,5155,4098,4741,5292,5464,5965,6041,6754,8792,12068,
Fixed Assets,203,527,765,985,973,1228,1191,1343,1619,1843,2291,2825,
  └─ Land,12,10,14,14,15,65,64,63,65,61,61,,
  └─ Building,71,156,192,210,215,227,250,284,315,348,393,,
  └─ Plant Machinery,131,353,587,835,878,1140,1169,1376,1676,1762,2328,,
  └─ Equipments,3,2,3,3,4,4,4,4,5,7,8,,
  └─ Furniture n fittings,1,2,4,5,5,5,5,5,5,5,5,,
  └─ Vehicles,0,1,4,4,3,3,2,2,4,6,6,,
  └─ Intangible Assets,35,36,38,42,49,49,49,49,87,105,121,269,
  └─ Other fixed assets,2,2,2,2,2,6,6,6,6,219,219,,
  └─ Gross Block,255,562,843,1115,1169,1498,1549,1789,2164,2512,3142,,
  └─ Accumulated Depreciation,52,35,78,131,196,271,357,446,545,669,851,,
CWIP,49,43,112,20,66,33,230,148,123,304,296,247,
Investments,0,63,253,0,91,94,33,33,1,0,446,550,
Other Assets,2944,4146,4024,3094,3611,3936,4010,4440,4298,4607,5760,8445,
  └─ Inventories,424,560,690,929,944,994,917,1004,1130,1245,1352,1790,
  └─ Trade receivables,1432,2409,2382,1339,1630,1322,1048,1073,827,1137,2688,4250,
    └─ Receivables over 6m,71,2414,0,0,0,0,0,1441,1045,1108,1609,,41
    └─ Receivables under 6m,1361,0,2392,1349,1647,1527,1260,0,0,456,1482,,669
    └─ Prov for Doubtful,0,-5,-10,-10,-17,-205,-212,-368,-218,-427,-403,,0
  └─ Cash Equivalents,710,494,437,127,135,161,242,223,270,54,213,612,
  └─ Loans n Advances,60,75,115,161,206,425,607,627,507,273,243,403,
  └─ Other asset items,318,609,399,538,696,1034,1196,1514,1564,1898,1265,1391,
Total Assets,3196,4778,5155,4098,4741,5292,5464,5965,6041,6754,8792,12068,
