Metric,Mar 2025,Mar 2026
Equity Capital,4,7
Reserves,10,82
Borrowings,1,10
  └─ Long term Borrowings,0.36,2.70
  └─ Short term Borrowings,1.08,7.57
Other Liabilities,4,72
  └─ Non controlling int,-0,16
  └─ Trade Payables,3,55
  └─ Advance from Customers,0,
  └─ Other liability items,1,2
Total Liabilities,19,172
Fixed Assets,3,26
  └─ Building,1.67,
  └─ Equipments,0.07,
  └─ Computers,0.33,
  └─ Furniture n fittings,0.27,
  └─ Vehicles,0.68,
  └─ Intangible Assets,0.07,20.00
  └─ Other fixed assets,-0.01,
  └─ Gross Block,3.08,
  └─ Accumulated Depreciation,0.37,
CWIP,0,0
Investments,0,11
Other Assets,17,135
  └─ Trade receivables,9.58,48.87
    └─ Receivables over 6m,3.70,
    └─ Receivables under 6m,5.88,
  └─ Cash Equivalents,2.49,30.44
  └─ Loans n Advances,1.81,37.21
  └─ Other asset items,2.65,18.44
Total Assets,19,172
