Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,16,16,16,16,16,16,16,16,16,16,17,17,
Reserves,110,110,110,116,123,128,148,168,195,204,224,252,
Borrowings,71,33,25,26,20,22,18,24,21,23,53,49,
  └─ Long term Borrowings,17.50,15.12,14.19,20.52,19.08,11.15,0.00,0.00,0.00,0.00,0.00,45.40,
  └─ Short term Borrowings,50.97,15.58,7.54,2.19,1.14,2.78,0.00,0.00,0.00,0.00,0.00,0.00,
  └─ Lease Liabilities,0.00,0.00,0.00,0.00,0.00,7.92,0.00,0.00,0.00,0.00,0.00,3.94,
  └─ Other Borrowings,2.15,2.58,3.07,3.44,-0.01,0.01,18.39,24.31,20.52,23.42,53.11,,
Other Liabilities,29,21,19,30,31,23,31,44,40,74,57,65,
  └─ Non controlling int,0.15,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.09,
  └─ Trade Payables,1.19,1.48,2.18,3.65,2.30,4.23,4.31,11.19,6.10,15.31,10.86,9.15,
  └─ Advance from Customers,0.04,0.35,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
  └─ Other liability items,27.78,18.81,16.48,25.89,28.59,18.44,27.10,32.82,34.26,58.29,45.81,31.48,
Total Liabilities,225,179,169,188,189,188,214,252,271,317,351,383,
Fixed Assets,37,36,37,39,43,47,43,43,45,49,51,47,
  └─ Land,0.59,0.59,0.59,0.59,0.59,0.63,0.63,0.63,0.63,0.63,0.63,,
  └─ Building,36.00,36.06,36.11,34.99,1.27,1.30,1.30,1.38,1.22,1.66,1.80,,
  └─ Plant Machinery,1.64,1.73,2.20,4.30,4.22,4.29,4.10,4.68,9.59,10.91,11.00,,
  └─ Equipments,2.59,2.65,2.60,2.45,0.53,0.54,0.66,0.74,0.85,1.41,1.59,,
  └─ Computers,3.96,4.02,3.83,4.04,0.81,0.82,0.86,1.04,1.39,2.45,2.75,,
  └─ Furniture n fittings,2.60,2.68,2.62,2.55,0.30,0.30,0.34,0.34,0.36,0.81,0.92,,
  └─ Vehicles,2.33,2.45,2.14,2.26,0.69,0.69,0.77,1.01,1.84,1.38,2.50,,
  └─ Intangible Assets,0.15,0.26,0.29,0.29,0.29,0.29,0.29,0.37,0.29,0.29,0.29,4.20,
  └─ Other fixed assets,2.50,2.62,2.77,4.56,35.52,41.82,38.80,39.03,36.71,39.60,42.59,,
  └─ Gross Block,52.36,53.06,53.15,56.03,44.22,50.68,47.75,49.22,52.88,59.14,64.07,,
  └─ Accumulated Depreciation,15.72,17.34,16.20,17.06,1.51,3.23,4.75,6.22,8.27,10.19,13.46,,
CWIP,0,0,2,0,0,0,0,4,0,2,1,0,
Investments,19,22,20,24,26,26,46,61,69,93,112,166,
Other Assets,170,121,111,125,120,115,124,143,157,173,188,170,
  └─ Inventories,70,30,11,13,0,0,0,0,0,0,0,0,
  └─ Trade receivables,25,22,22,22,35,25,28,36,32,60,52,54,
    └─ Receivables over 6m,1.09,1.22,4.26,5.73,0.00,0.00,0.00,5.28,5.18,6.56,7.33,,2.32
    └─ Receivables under 6m,24.44,20.62,18.04,16.47,36.57,26.53,30.07,33.69,28.84,55.96,47.27,,23.88
    └─ Prov for Doubtful,-0.35,-0.14,-0.39,-0.29,-1.39,-1.94,-2.58,-2.78,-1.93,-2.23,-2.47,,-0.46
  └─ Cash Equivalents,17,19,20,28,23,29,29,29,16,13,23,7,
  └─ Loans n Advances,1,31,36,6,11,12,4,4,4,4,5,4,
  └─ Other asset items,57,20,22,56,51,49,64,74,105,96,108,104,
Total Assets,225,179,169,188,189,188,214,252,271,317,351,383,
