Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,599,599,599,600,600,601,602,602,783,1413,1414
Reserves,-1638,-1212,-655,-950,-2180,-3205,-4942,-6452,-6001,-3356,-4213
Borrowings,1230,1155,1303,1110,1097,9518,8332,7349,5379,4219,4213
  └─ Long term Borrowings,921,776,651,557,459,303,313,466,892,682,551
  └─ Short term Borrowings,105,252,357,418,414,765,766,720,260,207,249
  └─ Lease Liabilities,0,0,0,0,0,8450,7253,6163,4227,3329,3413
  └─ Other Borrowings,204,127,294,135,223,0,0,-0,-0,0,
Other Liabilities,2656,2448,2772,4045,13344,4438,5562,6272,6311,4318,4459
  └─ Non controlling int,0,0,0,0,0,0,-0,-0,-1,-2,-2
  └─ Trade Payables,721,587,689,1110,1720,2001,2613,2927,3382,2388,2505
  └─ Advance from Customers,0,156,197,193,377,421,354,397,217,171,
  └─ Other liability items,1935,1704,1887,2742,11248,2017,2595,2949,2712,1761,1956
Total Liabilities,2847,2991,4019,4805,12861,11352,9555,7771,6472,6594,5872
Fixed Assets,1628,1620,1598,1626,8714,7033,5569,4006,2571,2111,1933
  └─ Land,0.00,0.00,17.14,39.14,39.14,39.14,39.14,39.14,17.14,17.14,
  └─ Building,3.26,3.43,4.52,5.73,168.47,128.96,81.52,81.25,97.13,83.49,
  └─ Plant Machinery,40.10,50.75,72.94,93.70,137.52,140.93,137.28,129.25,123.66,119.71,
  └─ Equipments,136.35,233.99,291.09,330.92,382.95,400.86,409.48,427.60,443.22,498.58,
  └─ Computers,6.63,12.53,20.25,27.58,41.35,45.09,46.85,47.68,48.50,48.71,
  └─ Furniture n fittings,1.66,2.08,2.64,3.16,4.04,4.22,4.44,4.42,4.56,4.55,
  └─ Vehicles,1613.32,1688.02,1786.46,1962.16,10432.73,9831.32,9421.52,8315.40,6426.92,6432.25,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.22
  └─ Other fixed assets,2.48,3.69,7.82,22.38,35.65,41.83,41.85,42.62,57.45,57.90,
  └─ Gross Block,1803.80,1994.49,2202.86,2484.77,11241.85,10632.35,10182.08,9087.36,7218.58,7262.33,
  └─ Accumulated Depreciation,176.25,374.45,604.49,859.01,2528.09,3599.63,4612.85,5080.91,4647.91,5150.93,
CWIP,0,0,0,0,0,6,6,20,7,10,10
Investments,20,140,101,0,0,0,0,0,1,134,182
Other Assets,1199,1231,2320,3178,4146,4313,3979,3743,3894,4339,3748
  └─ Inventories,67,99,142,141,182,167,151,163,172,178,175
  └─ Trade receivables,43,62,86,147,294,321,253,160,158,124,899
    └─ Receivables over 6m,0,0,0,0,0,135,160,92,112,95,
    └─ Receivables under 6m,44,62,88,152,310,199,106,84,79,71,
    └─ Prov for Doubtful,-0,-0,-2,-5,-16,-13,-13,-15,-32,-42,
  └─ Cash Equivalents,106,68,147,80,42,36,63,36,215,260,218
  └─ Loans n Advances,280,165,264,342,240,184,128,185,315,331,147
  └─ Other asset items,702,837,1681,2468,3389,3604,3383,3200,3034,3446,2308
Total Assets,2847,2991,4019,4805,12861,11352,9555,7771,6472,6594,5872
