Metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,46,69,69,69
Reserves,27,17,49,65
Borrowings,0,13,13,33
  └─ Long term Borrowings,-0.00,7.28,5.40,24.14
  └─ Short term Borrowings,0.25,6.19,7.15,9.29
  └─ Other Borrowings,-0.00,-0.00,0.01,
Other Liabilities,17,16,14,30
  └─ Non controlling int,8.01,6.26,8.15,12.89
  └─ Trade Payables,5.91,1.17,0.00,3.65
  └─ Advance from Customers,0.20,3.19,0.92,
  └─ Other liability items,2.40,4.94,4.90,13.92
Total Liabilities,90,115,144,198
Fixed Assets,0,12,16,44
  └─ Land,0.00,1.61,2.50,
  └─ Building,0.00,6.37,8.30,
  └─ Plant Machinery,0.15,1.49,2.96,
  └─ Equipments,0.04,0.26,0.34,
  └─ Computers,0.03,0.04,0.06,
  └─ Furniture n fittings,0.05,0.17,0.21,
  └─ Vehicles,0.00,0.39,0.58,
  └─ Intangible Assets,0.00,3.14,3.22,9.53
  └─ Other fixed assets,0.00,0.00,0.01,
  └─ Gross Block,0.27,13.47,18.18,
  └─ Accumulated Depreciation,0.12,0.98,2.60,
CWIP,-0,3,3,6
Investments,7,13,11,-0
Other Assets,83,86,114,148
  └─ Inventories,18,28,47,48
  └─ Trade receivables,32,12,16,23
    └─ Receivables over 6m,0.85,0.96,6.35,
    └─ Receivables under 6m,31.46,11.12,9.33,
    └─ Prov for Doubtful,0.00,-0.12,0.00,
  └─ Cash Equivalents,3,7,4,7
  └─ Loans n Advances,1,1,1,18
  └─ Other asset items,29,38,46,53
Total Assets,90,115,144,198
