Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,23,24,25,27,27,27,27,27,27
Reserves,91,109,130,170,208,225,243,267,283
Borrowings,0,0,0,1,1,1,1,1,1
  └─ Lease Liabilities,0.00,0.00,0.00,0.65,0.54,1.25,1.18,1.11,1.01
  └─ Other Borrowings,0.00,0.00,0.00,-0.01,0.01,0.01,0.00,-0.01,
Other Liabilities,26,25,54,58,58,58,58,63,68
  └─ Trade Payables,11.89,9.54,22.27,21.48,25.35,22.36,21.57,25.84,31.33
  └─ Advance from Customers,0.46,0.40,1.06,3.17,1.08,2.45,1.31,1.42,
  └─ Other liability items,13.81,14.84,31.15,32.89,32.03,32.75,35.21,36.07,36.67
Total Liabilities,140,158,209,255,294,311,330,358,379
Fixed Assets,46,61,122,130,155,177,173,165,170
  └─ Land,0.07,12.02,14.92,14.99,15.00,15.00,15.24,15.24,
  └─ Building,15.04,15.85,42.08,45.55,53.44,58.56,59.11,59.72,
  └─ Plant Machinery,81.42,85.40,140.05,150.74,174.87,198.59,204.45,206.01,
  └─ Equipments,0.30,0.36,0.85,1.08,1.17,1.26,1.49,1.62,
  └─ Computers,0.61,0.65,1.23,1.31,1.52,1.62,1.70,1.79,
  └─ Furniture n fittings,0.34,0.35,0.95,1.00,1.03,1.06,1.50,1.51,
  └─ Vehicles,0.66,0.66,0.90,0.86,0.91,1.30,1.36,1.36,
  └─ Intangible Assets,0.00,0.00,0.33,0.33,0.33,0.33,0.33,0.33,0.76
  └─ Other fixed assets,1.40,1.41,1.79,1.79,1.85,2.42,1.15,1.10,
  └─ Gross Block,99.84,116.70,203.10,217.65,250.12,280.14,286.33,288.68,
  └─ Accumulated Depreciation,53.34,55.22,81.53,87.63,94.69,102.93,113.26,124.14,
CWIP,3,8,0,5,4,1,0,5,6
Investments,0,17,0,0,0,0,0,0,0
Other Assets,90,72,87,120,135,132,156,189,204
  └─ Inventories,10,9,16,20,29,35,33,39,47
  └─ Trade receivables,31,32,34,33,55,48,55,67,79
  └─ Cash Equivalents,4,4,5,12,14,6,30,46,33
  └─ Loans n Advances,-0,0,0,1,1,1,2,1,36
  └─ Other asset items,46,26,32,55,35,41,38,37,8
Total Assets,140,158,209,255,294,311,330,358,379
