Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Dec 2013
Equity Capital,27,37,37,37,37,38,38,44,47,47,47,47,
Reserves,1302,1211,1950,8634,8856,1627,1891,1651,1666,2010,2213,2499,
Borrowings,380,1042,1404,425,361,762,612,598,539,418,465,539,
  └─ Long term Borrowings,102,569,738,231,241,188,117,128,143,108,99,55,
  └─ Short term Borrowings,270,371,556,66,57,226,329,327,248,112,141,222,
  └─ Lease Liabilities,0,0,0,0,0,254,166,143,147,198,225,262,
  └─ Preference Capital,4,0,0,0,0,0,0,0,0,0,0,0,
  └─ Other Borrowings,4,102,110,127,63,95,0,-0,0,0,0,,
Other Liabilities,1417,2609,3575,3000,3753,3066,2194,2321,3404,3889,4303,4813,
  └─ Non controlling int,210,103,284,13,62,30,-13,-40,-39,-25,-23,-23,
  └─ Trade Payables,307,1072,1230,1484,1796,1419,788,998,1787,2157,2508,2814,
  └─ Advance from Customers,223,358,473,568,582,369,330,281,561,642,754,,
  └─ Other liability items,676,1076,1588,935,1314,1249,1089,1082,1095,1115,1064,2021,
Total Liabilities,3126,4899,6965,12096,13008,5492,4736,4615,5657,6364,7028,7899,
Fixed Assets,1200,1903,2843,1723,2403,2707,2628,2580,2576,2770,2809,3149,
  └─ Land,68,72,72,72,552,553,653,657,628,770,766,,
  └─ Building,264,457,497,567,575,890,828,853,878,975,1047,,
  └─ Plant Machinery,25,25,48,28,27,27,27,26,26,28,32,,
  └─ Equipments,33,27,31,23,24,25,23,20,20,21,21,,
  └─ Computers,42,68,88,46,78,111,110,122,148,153,169,,
  └─ Furniture n fittings,101,92,115,136,158,173,172,170,175,184,186,,
  └─ Vehicles,8,12,16,34,48,57,54,53,53,57,62,,
  └─ Intangible Assets,845,1226,1943,880,1097,1177,1159,1172,1215,1224,1239,1410,
  └─ Other fixed assets,78,36,243,163,153,167,175,186,204,211,226,,
  └─ Gross Block,1465,2015,3052,1948,2710,3180,3201,3258,3348,3624,3748,,
  └─ Accumulated Depreciation,264,112,209,225,307,473,573,679,771,855,939,,
CWIP,97,53,56,13,7,12,6,14,26,60,93,8,
Investments,340,134,219,7398,7417,100,130,129,106,134,134,287,
Other Assets,1489,2810,3847,2962,3180,2673,1971,1892,2948,3400,3992,4455,
  └─ Inventories,3,4,9,1,16,23,18,22,30,40,36,50,
  └─ Trade receivables,645,828,1001,857,829,474,128,235,568,646,632,663,
    └─ Receivables over 6m,104,0,0,0,0,0,0,0,190,74,120,,26
    └─ Receivables under 6m,570,959,1194,1036,893,544,203,291,433,612,564,,325
    └─ Prov for Doubtful,-28,-131,-192,-179,-64,-70,-74,-55,-55,-41,-53,,-21
  └─ Cash Equivalents,278,984,1379,1093,1034,1061,847,548,761,1188,1004,1094,
  └─ Loans n Advances,145,331,449,575,688,378,258,275,569,474,528,522,
  └─ Other asset items,418,664,1008,435,613,737,720,813,1020,1052,1792,2126,
Total Assets,3126,4899,6965,12096,13008,5492,4736,4615,5657,6364,7028,7899,
