Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,10,10,6,46,54
Reserves,4,-4,-4,-37,-57,2,134,218
Borrowings,13,13,13,63,73,33,5,57
  └─ Long term Borrowings,13,13,13,63,73,0,0,57
  └─ Short term Borrowings,0,0,0,0,0,33,5,0
Other Liabilities,56,44,45,11,23,10,15,11
  └─ Trade Payables,11.39,7.30,7.37,2.37,1.21,0.39,7.76,10.02
  └─ Other liability items,44.83,36.89,37.83,9.09,21.66,10.04,6.86,1.16
Total Liabilities,82,63,64,46,48,52,200,340
Fixed Assets,59,42,42,27,28,30,39,58
  └─ Land,56.78,26.40,26.40,26.40,26.40,26.30,,
  └─ Building,2.28,0.02,0.02,0.02,0.02,0.02,,
  └─ Plant Machinery,0.73,0.73,0.74,1.23,6.13,1.57,,
  └─ Equipments,0.00,0.00,0.00,0.00,1.64,1.48,,
  └─ Computers,0.00,0.00,0.00,0.00,0.88,1.16,,
  └─ Furniture n fittings,0.00,0.00,0.00,0.00,0.50,1.73,,
  └─ Vehicles,0.05,0.05,0.05,0.47,0.69,1.08,,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,2.92,3.39
  └─ Other fixed assets,0.04,15.20,15.20,0.00,0.19,0.28,,
  └─ Gross Block,59.88,42.40,42.41,28.12,36.45,33.62,,
  └─ Accumulated Depreciation,0.95,0.56,0.66,0.73,8.88,3.90,,
CWIP,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,139
Other Assets,23,21,22,19,20,22,161,144
  └─ Inventories,1.73,1.36,1.49,2.22,1.68,1.39,7.70,17.02
  └─ Trade receivables,5.00,5.89,5.00,2.25,2.72,0.19,5.53,34.24
  └─ Cash Equivalents,0.43,0.34,0.19,0.17,0.38,1.16,22.08,32.55
  └─ Loans n Advances,1.85,1.77,1.84,1.94,1.53,2.02,11.44,23.09
  └─ Other asset items,14.34,11.85,13.22,12.40,14.12,17.05,114.02,36.61
Total Assets,82,63,64,46,48,52,200,340
