Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,3,3,3,17,23
Reserves,16,18,25,20,44
Borrowings,41,65,69,69,80
  └─ Long term Borrowings,18,28,28,15,9
  └─ Short term Borrowings,23,37,41,54,71
  └─ Other Borrowings,0,-0,0,-0,
Other Liabilities,68,82,86,97,89
  └─ Trade Payables,63,77,79,91,84
  └─ Advance from Customers,0,1,1,1,
  └─ Other liability items,4,5,5,4,5
Total Liabilities,127,168,184,203,236
Fixed Assets,6,7,6,6,6
  └─ Land,0.69,0.69,0.69,0.69,
  └─ Building,5.46,6.79,6.76,6.76,
  └─ Plant Machinery,2.55,2.57,2.61,2.61,
  └─ Equipments,0.23,0.10,0.12,0.12,
  └─ Computers,0.24,0.19,0.22,0.22,
  └─ Furniture n fittings,1.39,1.22,1.23,1.23,
  └─ Vehicles,0.37,0.44,0.44,0.44,
  └─ Other fixed assets,0.34,0.36,0.34,0.34,
  └─ Gross Block,11.27,12.36,12.41,12.41,
  └─ Accumulated Depreciation,5.45,5.41,5.91,6.32,
CWIP,0,0,0,0,0
Investments,4,4,4,4,5
Other Assets,118,157,173,193,226
  └─ Inventories,36,65,81,56,52
  └─ Trade receivables,75,81,79,129,134
  └─ Cash Equivalents,1,4,3,1,11
  └─ Loans n Advances,4,4,5,3,23
  └─ Other asset items,2,4,6,4,6
Total Assets,127,168,184,203,236
