Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10,8.10
Reserves,2.93,3.35,3.33,3.45,3.44,3.07,2.82,2.50,-1.24,-0.70,-0.90
Borrowings,0.07,0.04,0.00,0.00,0.99,0.98,0.93,0.77,0.00,0.16,1.02
  └─ Long term Borrowings,0.04,0.01,0.00,0.00,0.96,0.98,0.93,0.77,0.00,0.00,0.14
  └─ Short term Borrowings,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88
  └─ Other Borrowings,0.03,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.16,
Other Liabilities,0.44,0.69,1.08,1.19,1.22,1.43,1.49,2.35,2.72,1.18,0.23
  └─ Non controlling int,0.00,0.21,0.28,0.51,0.36,0.41,0.50,0.52,0.50,0.27,0.23
  └─ Trade Payables,0.02,0.05,0.48,0.37,0.57,0.80,0.81,1.65,2.15,0.88,0.00
  └─ Other liability items,0.42,0.43,0.32,0.31,0.29,0.22,0.18,0.18,0.07,0.03,0.00
Total Liabilities,11.54,12.18,12.51,12.74,13.75,13.58,13.34,13.72,9.58,8.74,8.45
Fixed Assets,1.22,1.17,0.75,0.70,2.10,2.17,1.92,1.83,1.65,2.20,2.17
  └─ Land,0.00,0.10,0.10,0.24,0.00,0.24,0.14,0.14,0.14,0.00,
  └─ Building,0.07,0.07,0.14,0.14,0.00,0.85,0.71,0.71,0.71,0.14,
  └─ Plant Machinery,0.05,0.05,0.05,0.05,0.00,0.89,0.89,0.90,0.93,0.05,
  └─ Equipments,0.07,0.08,0.08,0.09,0.00,0.16,0.18,0.20,0.20,0.13,
  └─ Computers,0.07,0.13,0.14,0.14,0.00,0.17,0.18,0.18,0.18,0.17,
  └─ Furniture n fittings,0.09,0.11,0.12,0.14,0.00,0.15,0.15,0.18,0.18,0.29,
  └─ Vehicles,0.57,0.58,0.58,0.67,0.00,0.88,0.93,0.94,0.94,0.81,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
  └─ Other fixed assets,2.01,2.05,2.06,2.09,2.10,2.07,2.13,0.16,2.16,3.90,
  └─ Gross Block,2.93,3.17,3.27,3.56,2.10,5.41,5.31,3.41,5.44,5.49,
  └─ Accumulated Depreciation,1.71,2.00,2.52,2.86,0.00,3.24,3.39,1.58,3.79,3.29,
CWIP,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Investments,0.02,0.05,1.14,1.69,0.33,0.63,0.49,0.30,0.39,0.42,0.42
Other Assets,10.30,10.96,10.62,10.09,11.32,10.78,10.93,11.59,7.54,6.12,5.86
  └─ Inventories,0.33,0.32,0.45,0.46,1.00,0.86,0.79,0.91,0.93,1.00,0.85
  └─ Trade receivables,0.82,0.85,0.67,0.53,1.23,2.17,3.29,1.31,1.38,1.23,1.30
  └─ Cash Equivalents,0.37,1.33,0.22,1.43,0.59,0.35,0.20,1.12,2.08,2.89,2.75
  └─ Loans n Advances,6.76,7.14,8.51,6.13,6.54,0.00,4.24,4.46,2.37,0.43,0.32
  └─ Other asset items,2.02,1.32,0.77,1.54,1.96,7.40,2.41,3.79,0.78,0.57,0.64
Total Assets,11.54,12.18,12.51,12.74,13.75,13.58,13.34,13.72,9.58,8.74,8.45
