Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,Mar 2014
Equity Capital,12,12,14,14,14,14,14,14,28,27,27,27,
Reserves,198,229,316,309,324,269,233,247,247,254,245,226,
Borrowings,62,70,59,53,58,57,46,22,17,32,264,273,
  └─ Long term Borrowings,25,25,8,5,8,4,6,3,1,1,175,172,
  └─ Short term Borrowings,31,38,44,42,44,39,37,14,10,20,66,61,
  └─ Lease Liabilities,0,0,0,0,0,9,3,5,6,11,22,40,
  └─ Other Borrowings,6,7,8,6,5,5,0,0,0,-0,-0,,
Other Liabilities,69,76,212,97,97,82,60,64,82,75,341,372,
  └─ Non controlling int,1,0,-0,0,0,0,0,-0,0,-2,-2,-2,
  └─ Trade Payables,20,25,42,46,48,41,25,28,40,33,68,80,
  └─ Advance from Customers,2,2,1,0,0,0,1,0,0,2,0,,
  └─ Other liability items,46,49,169,50,49,42,33,36,41,43,275,294,
Total Liabilities,341,386,601,473,493,422,352,348,373,388,876,898,
Fixed Assets,110,120,93,102,101,108,75,57,67,94,351,385,
  └─ Land,13,13,18,13,13,11,6,0,0,0,0,,
  └─ Building,62,63,29,30,28,28,27,3,3,3,3,,
  └─ Plant Machinery,1,1,1,1,0,1,1,0,0,0,0,,
  └─ Equipments,4,5,2,3,4,4,4,2,2,2,3,,
  └─ Computers,6,10,4,5,6,7,7,6,6,6,8,,
  └─ Furniture n fittings,3,5,3,2,3,3,2,1,1,1,1,,
  └─ Vehicles,2,2,1,1,1,2,1,2,2,3,3,,
  └─ Intangible Assets,36,55,39,57,61,65,46,50,56,73,297,323,
  └─ Other fixed assets,4,4,2,6,10,28,25,36,50,73,121,,
  └─ Gross Block,131,159,100,118,125,146,118,101,121,161,437,,
  └─ Accumulated Depreciation,21,39,7,15,25,39,43,44,54,66,86,,
CWIP,1,1,1,2,2,3,4,4,5,2,14,0,
Investments,2,2,0,51,82,51,52,54,8,1,1,1,
Other Assets,228,264,508,319,309,260,221,233,293,291,510,513,
  └─ Inventories,9,7,8,9,10,16,15,15,12,13,14,12,
  └─ Trade receivables,87,118,107,115,130,93,52,50,70,65,111,80,
    └─ Receivables over 6m,33,59,0,0,0,0,46,36,18,21,27,,10
    └─ Receivables under 6m,53,59,125,135,146,101,9,17,54,47,97,,54
    └─ Prov for Doubtful,-0,-0,-19,-20,-16,-8,-3,-3,-3,-3,-14,,-0
  └─ Cash Equivalents,19,16,223,44,20,14,30,21,64,104,232,284,
  └─ Loans n Advances,60,61,28,39,40,39,37,39,29,35,40,10,
  └─ Other asset items,53,62,142,112,109,99,87,108,118,75,113,127,
Total Assets,341,386,601,473,493,422,352,348,373,388,876,898,
