Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Equity Capital,60,60,60,59,59,60,60,60,60,61,61,61
Reserves,1230,1373,1681,1948,2332,2706,3176,3728,4063,4574,5296,6255
Borrowings,0,0,0,0,0,143,236,374,456,394,574,681
  └─ Long term Borrowings,,,,,,143,146,0,0,0,0,0
  └─ Short term Borrowings,,,,,,0,44,0,83,0,0,0
  └─ Lease Liabilities,,,,,,0,0,374,374,394,574,681
  └─ Other Borrowings,0,0,0,0,0,-0,46,0,0,0,0,0
Other Liabilities,463,587,570,538,742,1260,1666,1511,1934,2173,3063,3906
  └─ Non controlling int,0,0,0,0,0,0,0,0,0,0,-2,-3
  └─ Trade Payables,68,98,196,220,330,384,422,459,536,660,914,1007
  └─ Advance from Customers,0,0,0,0,19,0,0,0,0,0,0,0
  └─ Other liability items,395,489,374,318,393,876,1245,1052,1399,1514,2152,2902
Total Liabilities,1754,2021,2311,2545,3133,4169,5138,5674,6514,7202,8994,10902
Fixed Assets,514,533,479,541,574,2038,2478,2391,2588,2454,3760,5130
  └─ Land,46,46,0,0,0,0,0,52,55,55,55,55
  └─ Building,230,236,239,286,318,415,455,923,995,1083,1270,1496
  └─ Plant Machinery,157,176,189,213,242,322,346,376,459,464,486,538
  └─ Equipments,79,83,87,124,129,192,211,216,224,231,231,280
  └─ Computers,38,45,54,59,68,79,0,0,87,78,99,100
  └─ Furniture n fittings,58,60,62,74,79,122,125,115,119,121,114,136
  └─ Vehicles,3,3,2,2,2,2,2,14,17,17,16,14
  └─ Intangible Assets,163,172,176,166,181,1192,1304,1225,1437,1445,2391,3580
  └─ Other fixed assets,-0,12,14,14,-0,260,798,397,379,381,674,719
  └─ Gross Block,773,832,823,939,1019,2585,3240,3317,3772,3876,5335,6917
  └─ Accumulated Depreciation,259,300,345,397,445,547,763,926,1184,1423,1576,1787
CWIP,35,116,323,256,224,86,10,12,6,55,131,50
Investments,186,41,21,21,13,3,0,123,0,251,0,145
Other Assets,1019,1330,1488,1726,2322,2042,2649,3147,3920,4442,5104,5577
  └─ Trade receivables,366,441,438,536,803,980,814,1367,1882,1846,1976,2056
  └─ Cash Equivalents,286,386,426,530,820,247,1026,1201,1303,1784,1987,1982
  └─ Loans n Advances,-0,-1,43,57,59,87,102,108,110,138,171,238
  └─ Other asset items,367,504,581,604,640,728,707,471,625,675,970,1300
Total Assets,1754,2021,2311,2545,3133,4169,5138,5674,6514,7202,8994,10902
