Metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,16,16,16,16,16,16,16,20,20,20
Reserves,212,285,368,330,429,525,727,1153,1217,1333
Borrowings,272,326,116,146,90,191,220,271,305,315
  └─ Long term Borrowings,0,0,3,16,18,34,22,31,28,31
  └─ Short term Borrowings,0,0,109,114,61,124,147,172,153,137
  └─ Lease Liabilities,0,0,0,16,12,33,50,68,123,147
  └─ Other Borrowings,272,326,4,0,0,0,0,0,0,
Other Liabilities,374,481,771,516,566,586,668,497,418,558
  └─ Non controlling int,0,0,0,0,0,20,35,51,53,47
  └─ Trade Payables,350,411,706,479,523,517,567,372,315,437
  └─ Advance from Customers,4,22,30,14,15,15,33,18,12,
  └─ Other liability items,20,47,35,23,28,35,34,55,38,73
Total Liabilities,875,1108,1271,1008,1101,1318,1632,1940,1959,2225
Fixed Assets,74,78,99,97,88,190,238,361,450,498
  └─ Land,6.94,6.96,26.41,16.29,17.34,42.25,78.29,90.57,145.25,
  └─ Building,47.03,51.71,44.21,52.99,53.20,94.23,95.33,147.85,162.93,
  └─ Plant Machinery,26.91,31.63,24.23,30.66,32.93,71.00,79.69,125.87,154.84,
  └─ Equipments,6.77,7.88,6.32,7.64,8.37,19.31,20.20,24.19,25.59,
  └─ Computers,1.11,1.24,0.76,1.11,1.31,2.80,3.14,3.51,4.33,
  └─ Furniture n fittings,5.34,5.82,8.22,8.45,8.53,11.37,13.64,21.58,31.01,
  └─ Vehicles,6.79,7.94,7.69,7.65,8.10,9.88,21.52,27.38,27.32,
  └─ Intangible Assets,0.26,0.26,0.00,0.26,0.26,0.33,0.33,0.33,0.33,1.25
  └─ Other fixed assets,0.75,0.97,6.32,6.46,3.73,3.10,3.35,3.65,3.78,
  └─ Gross Block,101.90,114.41,124.16,131.51,133.77,254.27,315.49,444.93,555.38,
  └─ Accumulated Depreciation,27.56,36.12,25.24,34.98,46.12,64.58,77.82,84.25,105.38,
CWIP,2,4,5,12,22,44,73,9,8,29
Investments,0,0,1,0,7,0,0,0,0,3
Other Assets,798,1025,1166,899,984,1084,1321,1570,1501,1695
  └─ Inventories,226,261,253,185,199,326,451,448,463,644
  └─ Trade receivables,431,564,613,440,514,442,562,623,670,721
    └─ Receivables over 6m,87,76,0,60,27,30,40,47,65,
    └─ Receivables under 6m,351,495,613,382,491,416,528,584,613,
    └─ Prov for Doubtful,-7,-7,0,-2,-3,-3,-6,-8,-8,
  └─ Cash Equivalents,87,97,115,100,121,183,108,277,152,132
  └─ Loans n Advances,26,66,99,81,74,22,49,88,68,18
  └─ Other asset items,28,37,86,92,76,112,151,134,148,179
Total Assets,875,1108,1271,1008,1101,1318,1632,1940,1959,2225
