Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,5,5,5,5,5,5,5,5,5,5,5
Reserves,115,128,125,128,133,139,148,172,194,210,229
Borrowings,18,2,3,8,2,6,12,47,123,128,116
  └─ Long term Borrowings,0,0,0,0,0,0,0,26,67,69,64
  └─ Short term Borrowings,18,1,3,7,1,3,7,17,54,58,49
  └─ Lease Liabilities,0,0,0,0,0,3,5,4,3,2,3
  └─ Other Borrowings,0,0,0,0,0,-0,0,0,0,0,
Other Liabilities,38,34,33,33,33,36,36,47,127,146,152
  └─ Trade Payables,11,7,11,12,15,16,17,27,37,47,57
  └─ Advance from Customers,1,1,1,1,1,2,1,1,2,1,
  └─ Other liability items,26,27,21,20,17,19,18,19,88,98,95
Total Liabilities,176,170,166,175,173,186,202,271,450,490,502
Fixed Assets,84,75,66,59,50,45,45,57,240,257,251
  └─ Land,3.10,3.10,3.10,3.10,5.83,3.10,3.10,8.27,8.27,9.71,
  └─ Building,25.11,16.72,17.11,17.64,17.89,17.89,24.21,24.95,32.75,40.97,
  └─ Plant Machinery,124.71,60.86,62.04,62.01,60.85,62.46,64.16,76.04,242.80,276.13,
  └─ Equipments,1.48,0.60,0.67,0.69,0.62,0.70,0.76,1.24,1.68,2.07,
  └─ Computers,0.77,0.37,0.58,0.60,0.55,0.63,0.95,1.56,1.81,1.92,
  └─ Furniture n fittings,3.90,1.98,2.06,2.07,2.09,2.10,2.15,2.29,2.58,2.91,
  └─ Vehicles,2.63,0.00,1.97,2.11,2.11,1.48,1.70,1.90,3.30,4.27,
  └─ Intangible Assets,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
  └─ Other fixed assets,0.41,-0.01,0.17,0.55,0.56,4.60,0.57,0.76,0.83,0.87,
  └─ Gross Block,162.11,83.62,87.70,88.77,90.50,92.96,97.60,117.01,294.02,338.85,
  └─ Accumulated Depreciation,78.11,8.69,21.29,30.18,40.08,48.07,52.96,59.70,53.73,82.26,
CWIP,21,1,1,0,0,0,1,23,9,1,2
Investments,0,22,24,22,18,17,29,35,43,49,60
Other Assets,71,72,74,93,104,124,127,156,158,183,189
  └─ Inventories,30,32,26,23,19,27,31,21,42,73,67
  └─ Trade receivables,27,29,35,50,54,46,53,59,64,66,73
    └─ Receivables over 6m,4,4,0,5,5,36,9,11,3,5,
    └─ Receivables under 6m,25,27,36,48,53,17,51,57,63,64,
    └─ Prov for Doubtful,-2,-1,-1,-3,-4,-6,-7,-8,-2,-3,
  └─ Cash Equivalents,4,3,5,12,18,38,26,26,11,12,11
  └─ Loans n Advances,-2,-2,-3,-2,-2,0,-2,1,3,-0,12
  └─ Other asset items,11,10,11,10,15,12,19,49,38,32,26
Total Assets,176,170,166,175,173,186,202,271,450,490,502
