Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Equity Capital,38,38,39,40,40,40,40
Reserves,1345,1492,1788,1597,661,-1922,-2067
Borrowings,682,783,904,2757,2954,2169,1610
  └─ Long term Borrowings,270,612,673,190,1067,1168,1120
  └─ Short term Borrowings,212,136,136,712,604,561,490
  └─ Lease Liabilities,0,0,0,1374,1242,441,0
  └─ Preference Capital,0,0,0,0,0,0,0
  └─ Other Borrowings,200,35,94,480,41,0,
Other Liabilities,1543,1485,2330,2904,2571,4175,4186
  └─ Non controlling int,0,0,0,0,0,0,0
  └─ Trade Payables,1226,1093,1800,2389,2053,2710,2443
  └─ Advance from Customers,24,26,56,22,47,44,
  └─ Other liability items,293,366,474,492,472,1421,1743
Total Liabilities,3608,3798,5061,7298,6227,4463,3769
Fixed Assets,740,924,1274,2675,2330,668,422
  └─ Building,93.27,167.96,284.45,379.69,414.13,405.77,
  └─ Plant Machinery,163.63,174.95,202.00,217.90,219.88,215.91,
  └─ Equipments,13.09,23.65,34.17,41.03,40.91,41.12,
  └─ Computers,29.00,40.29,58.50,69.29,68.52,69.25,
  └─ Furniture n fittings,479.49,700.63,1019.20,1279.28,1342.66,700.37,
  └─ Vehicles,0.45,1.06,0.85,0.85,0.43,0.45,
  └─ Intangible Assets,26.61,26.96,53.42,193.72,171.58,0.48,9.66
  └─ Other fixed assets,12.65,14.01,14.36,1150.15,982.60,396.33,
  └─ Gross Block,818.19,1149.51,1666.95,3331.91,3240.71,1829.68,
  └─ Accumulated Depreciation,78.41,225.05,393.22,656.43,910.79,1161.75,
CWIP,190,290,158,178,61,59,59
Investments,216,217,349,345,323,32,32
Other Assets,2462,2366,3280,4099,3513,3705,3256
  └─ Inventories,1506,1483,2031,2504,1942,1481,1107
  └─ Trade receivables,303,303,390,382,409,211,259
  └─ Cash Equivalents,30,45,126,23,50,62,60
  └─ Loans n Advances,20,98,90,390,338,526,247
  └─ Other asset items,604,437,643,800,774,1425,1583
Total Assets,3608,3798,5061,7298,6227,4463,3769
